Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","13:00","2015-01-09","WNW","36","47","14000","5.50","987","R","Light rain",
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","13:00","2015-01-09","WNW","7","","13000","3.00","999","F","Light rain shower (Day)",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","13:00","2015-01-09","SSW","11","","10000","4.40","1002","F","Light rain",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","13:00","2015-01-09","W","53","67","","-3.80","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","13:00","2015-01-09","W","9","29","21000","5.20","1002","R","(White) Medium-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","13:00","2015-01-09","S","7","30","6000","6.00","1003","F","(Black) Low-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","13:00","2015-01-09","WSW","8","","9000","6.60","1003","F","Light rain shower (Day)",
"3153","DUNDRENNAN (3153)","54.8030","-4.0080","Dumfries, Galloway","13:00","2015-01-09","SSW","15","30","5000","5.20","1007","F","Heavy Rain",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","13:00","2015-01-09","WSW","15","30","","-99.00","","#","N/A",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","13:00","2015-01-09","SSE","16","","3400","6.30","1003","F","Heavy Rain",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","13:00","2015-01-09","S","19","29","","-99.00","","#","N/A",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","13:00","2015-01-09","SW","11","","14000","9.70","1012","F","Light rain",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","13:00","2015-01-09","SSW","32","49","7000","10.80","1015","F","Drizzle",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","13:00","2015-01-09","SW","30","36","5000","10.90","1019","F","(Black) Low-level cloud",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","13:00","2015-01-09","SSW","19","","6000","6.00","1008","F","(Black) Low-level cloud",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","13:00","2015-01-09","WSW","26","49","6000","4.10","1006","F","Light rain",
"3316","CROSBY (3316)","53.4970","-3.0560","North West England","13:00","2015-01-09","SSW","17","37","4200","8.20","1011","F","Light rain",
"3240","BOULMER (3240)","55.4210","-1.6000","North East England","13:00","2015-01-09","WSW","21","40","12000","8.40","1005","R","Sunny intervals",
"3265","TOPCLIFFE (3265)","54.2040","-1.3900","Yorkshire & Humber","13:00","2015-01-09","WSW","19","41","22000","8.10","1010","F","(White) Medium-level cloud",
"3344","BINGLEY SAMOS (3344)","53.8110","-1.8650","Yorkshire & Humber","13:00","2015-01-09","WSW","19","52","8000","6.00","1009","F","Heavy Rain",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","13:00","2015-01-09","SW","15","","12000","10.50","1014","F","Light rain",
"3535","COLESHILL (3535)","52.4800","-1.6890","West Midlands","13:00","2015-01-09","SW","10","","12000","11.70","1014","F","(White) Medium-level cloud",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","13:00","2015-01-09","WSW","13","","30000","10.80","1013","F","Light rain",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","13:00","2015-01-09","WSW","17","","17000","10.40","1013","F","Sunny intervals",
"3488","WEYBOURNE (3488)","52.9490","1.1270","East of England","13:00","2015-01-09","WSW","24","39","35000","11.00","1013","F","Sunny (Day)",
"3693","SHOEBURYNESS (3693)","51.5540","0.8300","East of England","13:00","2015-01-09","WSW","14","29","50000","12.20","1017","F","(White) Medium-level cloud",
"3707","CHIVENOR (3707)","51.0890","-4.1490","South West England","13:00","2015-01-09","WSW","26","37","5000","11.80","1022","F","(Black) Low-level cloud",
"3746","BOSCOMBE DOWN (3746)","51.1610","-1.7540","South West England","13:00","2015-01-09","WSW","22","33","25000","11.80","1020","F","(White) Medium-level cloud",
"3823","CARDINHAM (3823)","50.5020","-4.6670","South West England","13:00","2015-01-09","WSW","25","41","2500","11.30","1024","F","(Black) Low-level cloud",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","13:00","2015-01-09","W","18","29","10000","13.00","1021","F","Sunny intervals",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","13:00","2015-01-09","SW","22","32","15000","11.70","1018","F","(White) Medium-level cloud",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","13:00","2015-01-09","WSW","26","36","30000","12.00","1019","F","(White) Medium-level cloud",
"3784","GRAVESEND-BROADNESS (3784)","51.4640","0.3140","London & South East England","13:00","2015-01-09","SW","11","","","12.80","1017","F","N/A",
"3872","THORNEY ISLAND (3872)","50.8200","-0.9200","London & South East England","13:00","2015-01-09","WSW","25","36","8000","11.60","1021","R","(White) Medium-level cloud",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","13:00","2015-01-09","WSW","11","","12000","5.20","997","F","(White) Medium-level cloud",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","13:00","2015-01-09","WSW","26","66","","-2.30","","#","N/A",
"3075","WICK AIRPORT (3075)","58.4540","-3.0890","Highland & Eilean Siar","13:00","2015-01-09","W","24","33","20000","4.40","997","R","(Black) Low-level cloud",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","13:00","2015-01-09","W","8","","16000","5.50","1001","R","Sunny intervals",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","13:00","2015-01-09","S","11","29","10000","6.00","1002","F","Heavy Rain",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","13:00","2015-01-09","SW","22","33","16000","4.90","1005","F","(Black) Low-level cloud",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","13:00","2015-01-09","SSW","15","","3100","7.20","1006","F","Heavy Rain",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","13:00","2015-01-09","WSW","15","34","9000","6.80","1003","F","Heavy rain shower (Day)",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","13:00","2015-01-09","SSE","13","","200","5.50","1004","F","Heavy Rain",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","13:00","2015-01-09","SW","21","32","3900","7.20","1004","F","Heavy Rain",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","13:00","2015-01-09","SSW","9","","7000","9.00","1011","F","(White) Medium-level cloud",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","13:00","2015-01-09","SW","39","54","5000","8.10","1012","F","(Black) Low-level cloud",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","13:00","2015-01-09","SW","19","37","10000","11.40","1017","F","(Black) Low-level cloud",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","13:00","2015-01-09","SSW","25","37","3000","8.40","1008","F","Heavy Rain",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","13:00","2015-01-09","VRB","-99","","13000","5.70","1008","F","(Black) Low-level cloud",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","13:00","2015-01-09","WSW","47","68","","-0.30","","#","N/A",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","13:00","2015-01-09","W","21","46","15000","6.30","1005","R","Light rain shower (Day)",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","13:00","2015-01-09","WSW","11","44","23000","8.10","1010","F","Light rain",
"3292","BRIDLINGTON MRSC (3292)","54.0940","-0.1740","Yorkshire & Humber","13:00","2015-01-09","W","24","47","","9.70","1010","R","(White) Medium-level cloud",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","13:00","2015-01-09","W","21","36","","7.60","1013","F","Heavy Rain",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","13:00","2015-01-09","SW","19","31","12000","11.90","1015","F","Sunny (Day)",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","13:00","2015-01-09","WSW","19","","26000","10.40","1012","F","(White) Medium-level cloud",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","13:00","2015-01-09","WSW","16","","25000","11.10","1013","F","(White) Medium-level cloud",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","13:00","2015-01-09","WSW","23","32","20000","11.60","1014","F","(White) Medium-level cloud",
"3684","ANDREWS FIELD (3684)","51.8960","0.4530","East of England","13:00","2015-01-09","WSW","19","32","30000","10.90","1016","F","Sunny intervals",
"3647","LITTLE RISSINGTON (ESAWS) (3647)","51.8600","-1.6920","South West England","13:00","2015-01-09","SW","30","39","10000","9.90","1016","F","(Black) Low-level cloud",
