Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","01:00","2015-03-05","SSW","23","31","8000","4.50","1020","#","Heavy Rain",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","01:00","2015-03-05","SSW","28","39","5000","7.90","1021","F","(White) Medium-level cloud",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","01:00","2015-03-05","SW","40","68","","2.30","","#","N/A",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","01:00","2015-03-05","WSW","16","","45000","7.00","1024","F","(Black) Low-level cloud",
"3066","KINLOSS (3066)","57.6494","-3.5606","Grampian","01:00","2015-03-05","WSW","22","33","55000","7.60","1025","F","(Black) Low-level cloud",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","01:00","2015-03-05","S","9","","45000","5.00","1027","F","(Black) Low-level cloud",
"3134","GLASGOW/BISHOPTON (3134)","55.9070","-4.5330","Strathclyde","01:00","2015-03-05","WSW","13","","30000","6.60","1031","F","(White) Medium-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","01:00","2015-03-05","WSW","26","40","","3.30","","#","N/A",
"3158","CHARTERHALL (3158)","55.7090","-2.3830","Dumfries, Galloway","01:00","2015-03-05","SW","19","","35000","4.20","1031","F","Partly cloudy (Night)",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","01:00","2015-03-05","SSW","15","","30000","7.00","1032","F","(Black) Low-level cloud",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","01:00","2015-03-05","WSW","13","","19000","5.80","1032","F","(White) Medium-level cloud",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","01:00","2015-03-05","SW","15","","11000","7.20","1037","R","(Black) Low-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","01:00","2015-03-05","SSW","19","","17000","7.00","1038","F","Partly cloudy (Night)",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","01:00","2015-03-05","E","3","","15000","2.20","1039","R","Clear sky (Night)",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","01:00","2015-03-05","WNW","2","","18000","3.80","1040","R","Clear sky (Night)",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","01:00","2015-03-05","SW","15","","21000","6.60","1036","R","(Black) Low-level cloud",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","01:00","2015-03-05","W","5","","26000","3.50","1035","R","(Black) Low-level cloud",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","01:00","2015-03-05","W","3","","24000","3.90","1033","R","(White) Medium-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","01:00","2015-03-05","WSW","11","","18000","4.50","1035","R","Partly cloudy (Night)",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","01:00","2015-03-05","SW","9","","","0.40","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","01:00","2015-03-05","VRB","-99","","","3.50","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","01:00","2015-03-05","SW","2","","19000","0.70","1040","R","Clear sky (Night)",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","01:00","2015-03-05","WSW","6","","28000","1.90","1038","R","Partly cloudy (Night)",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","01:00","2015-03-05","WSW","7","","19000","2.30","1036","R","Partly cloudy (Night)",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","01:00","2015-03-05","W","13","","23000","1.60","1038","R","Clear sky (Night)",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","01:00","2015-03-05","W","7","","13000","1.40","1038","R","Clear sky (Night)",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","01:00","2015-03-05","W","2","","30000","2.70","1040","R","Clear sky (Night)",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","01:00","2015-03-05","WSW","7","","","2.50","1040","R","Clear sky (Night)",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","01:00","2015-03-05","S","6","","20000","4.00","1041","R","Partly cloudy (Night)",
"3839","EXETER AIRPORT (3839)","50.7370","-3.4050","South West England","01:00","2015-03-05","VRB","-99","","","-1.50","","#","N/A",
"3862","HURN (3862)","50.7790","-1.8350","South West England","01:00","2015-03-05","VRB","0","","12000","-1.00","1040","R","Clear sky (Night)",
