Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","08:00","2015-12-15","SE","15","","35000","5.30","1023","R","Partly cloudy (Night)",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","08:00","2015-12-15","ESE","16","","28000","5.50","1016","F","Clear sky (Night)",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","08:00","2015-12-15","ESE","18","41","","-0.80","","#","N/A",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","08:00","2015-12-15","ESE","11","","40000","5.40","1019","F","(Black) Low-level cloud",
"3072","CAIRNWELL (3072)","56.8800","-3.4200","Grampian","08:00","2015-12-15","ESE","22","32","","-0.30","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","08:00","2015-12-15","ESE","10","","10000","6.50","1019","R","(Black) Low-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","08:00","2015-12-15","E","15","","","7.90","1013","F","(Black) Low-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","08:00","2015-12-15","E","2","","400","3.40","1018","F","Fog",
"3153","DUNDRENNAN (3153)","54.8030","-4.0080","Dumfries, Galloway","08:00","2015-12-15","ENE","17","","7000","6.30","1014","S","Mist",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","08:00","2015-12-15","ESE","13","","12000","9.80","1009","F","(Black) Low-level cloud",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","08:00","2015-12-15","SE","17","","1800","7.70","1013","R","Mist",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","08:00","2015-12-15","E","7","","35000","7.50","1013","F","(White) Medium-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","08:00","2015-12-15","SSE","15","","40000","10.30","1013","F","(White) Medium-level cloud",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","08:00","2015-12-15","ESE","10","","29000","10.50","1013","F","(White) Medium-level cloud",
"3609","MUMBLES HEAD (3609)","51.5650","-3.9810","Wales","08:00","2015-12-15","E","19","","","10.50","1014","R","N/A",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","08:00","2015-12-15","E","7","","15000","8.10","1015","F","(White) Medium-level cloud",
