Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","15:00","2015-02-05","WNW","13","","5000","7.10","1029","R","(Black) Low-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","15:00","2015-02-05","W","3","","15000","6.60","1031","R","(Black) Low-level cloud",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","15:00","2015-02-05","E","1","","26000","4.70","1031","R","(Black) Low-level cloud",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","15:00","2015-02-05","NNW","8","","28000","5.70","1029","R","Sunny intervals",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","15:00","2015-02-05","NNW","7","","35000","7.30","1029","F","Sunny (Day)",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","15:00","2015-02-05","N","5","","35000","7.70","1030","R","(Black) Low-level cloud",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","15:00","2015-02-05","NNE","5","","45000","5.50","1030","S","(White) Medium-level cloud",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","15:00","2015-02-05","NW","6","","4600","4.40","1031","F","Drizzle",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","15:00","2015-02-05","NNE","6","","35000","6.90","1029","R","(White) Medium-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","15:00","2015-02-05","NNE","10","","30000","6.50","1029","F","(Black) Low-level cloud",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","15:00","2015-02-05","N","10","","35000","7.70","1028","F","Sunny intervals",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","15:00","2015-02-05","ESE","6","","40000","6.80","1029","F","Sunny (Day)",
"3318","BLACKPOOL (3318)","53.1700","-2.9800","North West England","15:00","2015-02-05","NNE","7","","","6.50","","#","N/A",
"3275","LOFTUS (3275)","54.5700","-0.8700","North East England","15:00","2015-02-05","SE","9","","9000","3.40","1028","R","(Black) Low-level cloud",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","15:00","2015-02-05","E","8","","5000","3.90","1028","R","Light rain",
"3382","LECONFIELD SAR (3382)","53.8670","-0.4330","Yorkshire & Humber","15:00","2015-02-05","NNW","2","","45000","3.30","1028","R","Light rain",
"3520","SHOBDON SAWS (3520)","52.2420","-2.8850","West Midlands","15:00","2015-02-05","NNE","6","","25000","5.00","1027","F","(Black) Low-level cloud",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","15:00","2015-02-05","N","7","","35000","2.00","1028","R","(White) Medium-level cloud",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","15:00","2015-02-05","N","9","","30000","3.30","1027","R","(White) Medium-level cloud",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","15:00","2015-02-05","NE","17","","25000","4.10","1026","R","Sunny intervals",
"3693","SHOEBURYNESS (3693)","51.5540","0.8300","East of England","15:00","2015-02-05","ENE","16","29","45000","2.90","1025","R","(White) Medium-level cloud",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","15:00","2015-02-05","NNE","11","","","2.40","1026","S","(Black) Low-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","15:00","2015-02-05","NE","19","","30000","6.50","1027","F","(White) Medium-level cloud",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","15:00","2015-02-05","N","15","","15000","4.40","1026","F","Light rain",
"3660","HIGH WYCOMBE (3660)","51.6800","-0.8020","London & South East England","15:00","2015-02-05","NNE","8","","24000","1.50","1026","F","Light rain",
"3769","CHARLWOOD (3769)","51.1500","-0.2333","London & South East England","15:00","2015-02-05","NNE","9","","27000","4.20","1024","F","Sunny intervals",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","15:00","2015-02-05","NE","16","30","24000","3.60","1024","R","Sunny intervals",
"3008","FAIR ISLE (3008)","59.5300","-1.6300","Orkney & Shetland","15:00","2015-02-05","W","13","","","7.10","1028","R","N/A",
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","15:00","2015-02-05","ESE","1","","400","1.50","1031","R","Fog",
