Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","08:00","2015-09-15","ESE","9","","","12.50","994","S","N/A",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","08:00","2015-09-15","WNW","18","","15000","11.10","992","F","(Black) Low-level cloud",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","08:00","2015-09-15","WSW","10","","11000","10.50","992","F","(Black) Low-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","08:00","2015-09-15","NW","3","","45000","9.70","993","F","(Black) Low-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","08:00","2015-09-15","WNW","13","","","2.90","","#","N/A",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","08:00","2015-09-15","WNW","5","","45000","7.90","992","F","(Black) Low-level cloud",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","08:00","2015-09-15","NW","17","","8000","10.70","994","R","(Black) Low-level cloud",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","08:00","2015-09-15","WSW","6","","12000","8.60","992","F","Sunny intervals",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","08:00","2015-09-15","NW","11","","22000","12.10","993","R","(Black) Low-level cloud",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","08:00","2015-09-15","W","7","","6000","9.00","991","F","Mist",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","08:00","2015-09-15","NW","15","","29000","10.40","995","R","Sunny (Day)",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","08:00","2015-09-15","NW","9","","28000","10.10","995","R","Sunny (Day)",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","08:00","2015-09-15","WNW","10","","12000","13.10","993","R","(Black) Low-level cloud",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","08:00","2015-09-15","W","3","","30000","11.10","993","R","(Black) Low-level cloud",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","08:00","2015-09-15","NW","10","","23000","12.40","996","R","(Black) Low-level cloud",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","08:00","2015-09-15","NNW","16","","30000","12.70","993","R","(White) Medium-level cloud",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","08:00","2015-09-15","VRB","-99","","25000","11.60","991","R","(Black) Low-level cloud",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","08:00","2015-09-15","N","18","","","6.40","","#","N/A",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","08:00","2015-09-15","WNW","3","","17000","10.40","990","R","Light rain",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","08:00","2015-09-15","NW","9","","6000","12.10","990","R","Light rain",
"3292","BRIDLINGTON MRSC (3292)","54.0940","-0.1740","Yorkshire & Humber","08:00","2015-09-15","SSW","14","","","10.90","989","F","(Black) Low-level cloud",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","08:00","2015-09-15","WNW","2","","300","9.30","992","R","Fog",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","08:00","2015-09-15","WSW","5","","10000","12.00","993","R","(Black) Low-level cloud",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","08:00","2015-09-15","SSW","9","","5000","9.50","990","R","(Black) Low-level cloud",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","08:00","2015-09-15","SSW","10","","25000","10.40","991","R","(Black) Low-level cloud",
"3488","WEYBOURNE (3488)","52.9490","1.1270","East of England","08:00","2015-09-15","S","13","","35000","11.20","992","F","(Black) Low-level cloud",
"3693","SHOEBURYNESS (3693)","51.5540","0.8300","East of England","08:00","2015-09-15","SSW","19","29","13000","11.30","993","F","(Black) Low-level cloud",
"3710","LISCOMBE (3710)","51.0870","-3.6080","South West England","08:00","2015-09-15","W","13","","14000","10.30","996","R","(Black) Low-level cloud",
"3803","SCILLY ST MARYS (3803)","49.9130","-6.3010","South West England","08:00","2015-09-15","WNW","7","","12000","14.10","999","R","Sunny (Day)",
"3827","MOUNT BATTEN (3827)","50.3540","-4.1210","South West England","08:00","2015-09-15","WSW","13","","15000","13.40","998","R","(White) Medium-level cloud",
"3857","ISLE OF PORTLAND (3857)","50.5220","-2.4540","South West England","08:00","2015-09-15","W","29","44","12000","14.00","996","R","(White) Medium-level cloud",
