Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","11:00","2015-07-01","SSE","23","32","9000","14.90","1016","R","(White) Medium-level cloud",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","11:00","2015-07-01","ENE","11","","23000","17.00","1009","F","(Black) Low-level cloud",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","11:00","2015-07-01","NNE","2","","24000","17.80","1009","F","Sunny intervals",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","11:00","2015-07-01","SSE","13","","35000","24.70","1010","F","(White) Medium-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","11:00","2015-07-01","VRB","-99","","","-99.00","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","11:00","2015-07-01","SE","9","","10000","15.80","1014","F","Sunny intervals",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","11:00","2015-07-01","E","13","","22000","21.90","1008","F","(White) Medium-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","11:00","2015-07-01","E","8","","20000","21.10","1011","F","Sunny intervals",
"3153","DUNDRENNAN (3153)","54.8030","-4.0080","Dumfries, Galloway","11:00","2015-07-01","ESE","8","","30000","24.40","1008","F","Sunny intervals",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","11:00","2015-07-01","NNE","5","","","-99.00","","#","N/A",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","11:00","2015-07-01","SSW","5","","22000","23.10","1007","F","Sunny (Day)",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","11:00","2015-07-01","SE","5","","","-99.00","","#","N/A",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","11:00","2015-07-01","SSE","15","","35000","25.40","1009","F","Sunny intervals",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","11:00","2015-07-01","SSE","18","","20000","21.20","1008","F","(White) Medium-level cloud",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","11:00","2015-07-01","S","16","","9000","20.40","1010","R","Sunny (Day)",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","11:00","2015-07-01","SSE","19","29","26000","26.40","1008","F","(White) Medium-level cloud",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","11:00","2015-07-01","E","16","","28000","25.10","1010","F","(White) Medium-level cloud",
"3316","CROSBY (3316)","53.4970","-3.0560","North West England","11:00","2015-07-01","SSE","14","","13000","26.30","1009","F","(White) Medium-level cloud",
"3240","BOULMER (3240)","55.4210","-1.6000","North East England","11:00","2015-07-01","SSE","10","","8000","16.00","1013","F","Sunny (Day)",
"3265","TOPCLIFFE (3265)","54.2040","-1.3900","Yorkshire & Humber","11:00","2015-07-01","SE","17","","30000","29.10","1011","F","Sunny (Day)",
"3382","LECONFIELD SAR (3382)","53.8670","-0.4330","Yorkshire & Humber","11:00","2015-07-01","ESE","8","","18000","24.90","1013","F","Sunny (Day)",
"3520","SHOBDON SAWS (3520)","52.2420","-2.8850","West Midlands","11:00","2015-07-01","SSE","3","","18000","24.70","1010","F","Sunny (Day)",
"3544","CHURCH LAWFORD (3544)","52.3580","-1.3300","West Midlands","11:00","2015-07-01","S","8","","35000","31.00","1010","F","Sunny (Day)",
