Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","17:00","2015-10-05","SE","19","29","19000","11.40","1007","F","(Black) Low-level cloud",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","17:00","2015-10-05","E","23","30","15000","12.50","995","F","(Black) Low-level cloud",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","17:00","2015-10-05","ESE","23","47","","8.10","","#","N/A",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","17:00","2015-10-05","E","17","","8000","11.90","998","F","Heavy Rain",
"3066","KINLOSS (3066)","57.6494","-3.5606","Grampian","17:00","2015-10-05","E","8","","18000","12.30","998","F","Light rain",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","17:00","2015-10-05","SE","18","33","1900","12.20","999","F","Heavy Rain",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","17:00","2015-10-05","SSE","16","30","26000","15.10","994","F","(White) Medium-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","17:00","2015-10-05","SE","18","29","5000","13.30","997","F","(Black) Low-level cloud",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","17:00","2015-10-05","SSE","7","","30000","15.50","996","F","(Black) Low-level cloud",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","17:00","2015-10-05","S","9","","13000","12.30","992","R","(White) Medium-level cloud",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","17:00","2015-10-05","SSW","11","","45000","14.00","992","R","(White) Medium-level cloud",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","17:00","2015-10-05","SSE","9","","45000","17.60","997","F","(White) Medium-level cloud",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","17:00","2015-10-05","S","9","","20000","15.40","998","F","(White) Medium-level cloud",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","17:00","2015-10-05","SSE","16","","22000","15.80","996","F","(Black) Low-level cloud",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","17:00","2015-10-05","SSE","14","","26000","14.70","997","R","(White) Medium-level cloud",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","17:00","2015-10-05","SSE","15","","50000","15.50","998","F","(Black) Low-level cloud",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","17:00","2015-10-05","SE","7","","2700","14.30","998","F","Mist",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","17:00","2015-10-05","SE","11","","7000","15.70","1000","F","Mist",
"3292","BRIDLINGTON MRSC (3292)","54.0940","-0.1740","Yorkshire & Humber","17:00","2015-10-05","SSE","22","","","13.90","1001","F","(Black) Low-level cloud",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","17:00","2015-10-05","SSE","9","","24000","15.90","999","F","(Black) Low-level cloud",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","17:00","2015-10-05","SE","8","","15000","17.10","1000","F","Light rain",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","17:00","2015-10-05","SSE","10","","12000","16.30","1001","F","(Black) Low-level cloud",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","17:00","2015-10-05","SSE","17","","13000","15.80","1002","F","(Black) Low-level cloud",
"3488","WEYBOURNE (3488)","52.9490","1.1270","East of England","17:00","2015-10-05","SSE","13","","7000","15.20","1003","F","Drizzle",
"3693","SHOEBURYNESS (3693)","51.5540","0.8300","East of England","17:00","2015-10-05","SSE","8","","12000","15.90","1004","F","Drizzle",
