Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","04:00","2015-01-31","N","33","49","6000","1.30","976","R","Light rain shower (Night)",
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","04:00","2015-01-31","NNW","22","30","1800","0.80","986","R","Heavy Rain",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","04:00","2015-01-31","N","26","43","","-4.90","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","04:00","2015-01-31","NNW","8","","5000","1.20","983","R","Heavy snow",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","04:00","2015-01-31","N","24","33","20000","4.70","982","R","(White) Medium-level cloud",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","04:00","2015-01-31","NNE","31","51","8000","4.30","988","R","Light rain shower (Night)",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","04:00","2015-01-31","NNW","11","","50000","3.30","982","R","(Black) Low-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","04:00","2015-01-31","N","10","","50000","4.20","980","R","(White) Medium-level cloud",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","04:00","2015-01-31","NNW","18","29","50000","2.10","980","R","(Black) Low-level cloud",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","04:00","2015-01-31","N","33","52","13000","5.20","988","R","(Black) Low-level cloud",
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","04:00","2015-01-31","NNW","18","38","5000","3.80","986","R","Light rain shower (Night)",
"3305","CAPEL CURIG SAWS (3305)","53.0930","-3.9410","Wales","04:00","2015-01-31","W","19","45","2200","3.00","981","R","(White) Medium-level cloud",
"3409","BALA (3409)","52.9200","-3.5800","Wales","04:00","2015-01-31","W","8","","","3.00","980","R","N/A",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","04:00","2015-01-31","WNW","5","","28000","1.70","982","R","(Black) Low-level cloud",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","04:00","2015-01-31","WNW","16","","30000","3.80","983","R","(Black) Low-level cloud",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","04:00","2015-01-31","NNW","17","29","50000","3.50","979","R","(White) Medium-level cloud",
