Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","20:00","2015-12-22","SW","24","38","12000","6.60","984","R","(White) Medium-level cloud",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","20:00","2015-12-22","WSW","39","54","14000","8.40","988","R","(White) Medium-level cloud",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","20:00","2015-12-22","SSW","23","37","17000","7.70","991","F","(Black) Low-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","20:00","2015-12-22","SSW","21","34","30000","5.30","994","R","(White) Medium-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","20:00","2015-12-22","SW","54","89","","-2.40","","#","N/A",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","20:00","2015-12-22","WNW","10","","28000","5.70","995","R","Light rain shower (Night)",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","20:00","2015-12-22","SSW","17","38","16000","7.00","996","F","Partly cloudy (Night)",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","20:00","2015-12-22","SSW","21","29","24000","6.20","999","R","(White) Medium-level cloud",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","20:00","2015-12-22","SW","22","29","16000","8.40","999","R","Clear sky (Night)",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","20:00","2015-12-22","SSW","21","30","23000","7.70","997","R","Clear sky (Night)",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","20:00","2015-12-22","S","11","","10000","6.30","998","F","Light rain shower (Night)",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","20:00","2015-12-22","SW","17","","","-99.00","","#","N/A",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","20:00","2015-12-22","SSW","11","","15000","9.70","1005","R","Clear sky (Night)",
