Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","01:00","2015-07-01","S","3","","35000","18.10","1011","F","(Black) Low-level cloud",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","01:00","2015-07-01","E","8","","17000","17.30","1015","F","Clear sky (Night)",
"3746","BOSCOMBE DOWN (3746)","51.1610","-1.7540","South West England","01:00","2015-07-01","ENE","8","","27000","18.80","1012","F","Clear sky (Night)",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","01:00","2015-07-01","ENE","9","","25000","18.50","1013","F","Partly cloudy (Night)",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","01:00","2015-07-01","NW","3","","12000","14.30","1014","F","Clear sky (Night)",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","01:00","2015-07-01","ESE","7","","20000","20.70","1013","F","(White) Medium-level cloud",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","01:00","2015-07-01","E","13","","20000","18.00","1015","F","(White) Medium-level cloud",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","01:00","2015-07-01","E","9","","20000","21.00","1011","F","Partly cloudy (Night)",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","01:00","2015-07-01","NNE","8","","30000","20.10","1013","F","(White) Medium-level cloud",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","01:00","2015-07-01","SE","7","","50000","19.30","1012","F","Clear sky (Night)",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","01:00","2015-07-01","SE","3","","16000","13.90","1016","F","Partly cloudy (Night)",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","01:00","2015-07-01","E","8","","15000","14.90","1015","F","Clear sky (Night)",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","01:00","2015-07-01","ENE","11","","15000","15.90","1009","F","Clear sky (Night)",
"3672","NORTHOLT (3672)","51.5480","-0.4150","London & South East England","01:00","2015-07-01","ESE","11","","25000","20.90","1013","F","(White) Medium-level cloud",
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","01:00","2015-07-01","S","7","","6000","11.60","1014","F","Mist",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","01:00","2015-07-01","SSE","18","","35000","20.80","1009","F","Clear sky (Night)",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","01:00","2015-07-01","ESE","10","","18000","15.70","1015","F","Partly cloudy (Night)",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","01:00","2015-07-01","SSE","6","","15000","17.30","1009","F","Clear sky (Night)",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","01:00","2015-07-01","NE","6","","25000","19.70","1013","F","(White) Medium-level cloud",
