Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","18:00","2015-03-28","WNW","31","46","25000","5.50","980","R","(White) Medium-level cloud",
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","18:00","2015-03-28","W","22","34","3300","3.10","992","R","Heavy Rain",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","18:00","2015-03-28","WSW","32","48","","-99.00","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","18:00","2015-03-28","SW","13","","50000","5.60","992","R","Sunny intervals",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","18:00","2015-03-28","W","23","34","45000","7.70","990","R","(White) Medium-level cloud",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","18:00","2015-03-28","WSW","13","","40000","6.50","994","F","(White) Medium-level cloud",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","18:00","2015-03-28","WSW","16","","16000","6.90","997","R","Light rain shower (Day)",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","18:00","2015-03-28","W","22","44","40000","8.90","993","R","Sunny intervals",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","18:00","2015-03-28","W","16","30","35000","6.40","997","R","Sunny intervals",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","18:00","2015-03-28","WSW","18","30","19000","6.60","997","F","Drizzle",
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","18:00","2015-03-28","WSW","11","","12000","7.30","998","F","Light rain shower (Day)",
"3305","CAPEL CURIG SAWS (3305)","53.0930","-3.9410","Wales","18:00","2015-03-28","WSW","21","36","22000","9.50","1003","R","Light rain shower (Day)",
"3409","BALA (3409)","52.9200","-3.5800","Wales","18:00","2015-03-28","WSW","17","31","","9.70","1003","F","N/A",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","18:00","2015-03-28","WSW","14","31","12000","8.30","1006","F","(Black) Low-level cloud",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","18:00","2015-03-28","W","28","44","12000","9.50","1007","F","(Black) Low-level cloud",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","18:00","2015-03-28","W","13","","9000","8.00","1000","R","Light rain",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","18:00","2015-03-28","W","11","","50000","8.10","999","F","(Black) Low-level cloud",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","18:00","2015-03-28","WSW","15","29","45000","7.20","996","R","Sunny intervals",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","18:00","2015-03-28","W","14","44","20000","10.60","999","R","(White) Medium-level cloud",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","18:00","2015-03-28","WSW","21","38","","9.60","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","18:00","2015-03-28","VRB","-99","","","12.00","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","18:00","2015-03-28","WSW","10","","27000","11.50","1006","F","(White) Medium-level cloud",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","18:00","2015-03-28","WSW","16","34","25000","12.40","1001","F","Sunny intervals",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","18:00","2015-03-28","SW","18","31","50000","13.80","999","F","(White) Medium-level cloud",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","18:00","2015-03-28","SW","22","39","55000","12.70","1002","F","Sunny intervals",
