Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","21:00","2015-07-30","WNW","11","","40000","8.60","1015","R","(White) Medium-level cloud",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","21:00","2015-07-30","SSW","9","","30000","11.00","1015","F","(Black) Low-level cloud",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","21:00","2015-07-30","SSW","21","31","","5.70","","#","N/A",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","21:00","2015-07-30","SW","5","","40000","11.50","1016","F","(Black) Low-level cloud",
"3066","KINLOSS (3066)","57.6494","-3.5606","Grampian","21:00","2015-07-30","S","5","","50000","11.70","1016","F","(Black) Low-level cloud",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","21:00","2015-07-30","S","5","","50000","10.00","1017","R","Clear sky (Night)",
"3134","GLASGOW/BISHOPTON (3134)","55.9070","-4.5330","Strathclyde","21:00","2015-07-30","WSW","7","","40000","12.00","1018","S","(Black) Low-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","21:00","2015-07-30","W","7","","","7.90","","#","N/A",
"3158","CHARTERHALL (3158)","55.7090","-2.3830","Dumfries, Galloway","21:00","2015-07-30","W","7","","50000","9.00","1018","R","Partly cloudy (Night)",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","21:00","2015-07-30","SSW","6","","50000","12.10","1018","F","(Black) Low-level cloud",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","21:00","2015-07-30","SW","6","","50000","10.80","1018","F","(White) Medium-level cloud",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","21:00","2015-07-30","SSW","14","","60000","12.70","1021","F","(White) Medium-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","21:00","2015-07-30","SSW","11","","45000","11.60","1022","F","Clear sky (Night)",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","21:00","2015-07-30","VRB","0","","50000","6.90","1022","R","Clear sky (Night)",
"3609","MUMBLES HEAD (3609)","51.5650","-3.9810","Wales","21:00","2015-07-30","NW","8","","","12.60","1022","R","N/A",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","21:00","2015-07-30","NNE","1","","35000","10.30","1020","R","Partly cloudy (Night)",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","21:00","2015-07-30","SW","9","","28000","9.20","1020","R","(White) Medium-level cloud",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","21:00","2015-07-30","NNW","2","","30000","8.80","1019","R","(White) Medium-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","21:00","2015-07-30","W","3","","19000","11.00","1019","R","Clear sky (Night)",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","21:00","2015-07-30","SE","7","","","8.10","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","21:00","2015-07-30","VRB","-99","","","12.10","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","21:00","2015-07-30","WNW","2","","45000","10.10","1021","R","Clear sky (Night)",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","21:00","2015-07-30","W","3","","15000","11.60","1020","R","Clear sky (Night)",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","21:00","2015-07-30","SSE","6","","26000","11.60","1020","R","(White) Medium-level cloud",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","21:00","2015-07-30","W","3","","30000","12.70","1020","R","Partly cloudy (Night)",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","21:00","2015-07-30","ENE","1","","30000","11.20","1020","R","Partly cloudy (Night)",
"3647","LITTLE RISSINGTON (ESAWS) (3647)","51.8600","-1.6920","South West England","21:00","2015-07-30","N","7","","25000","10.20","1020","R","Clear sky (Night)",
"3743","LARKHILL (3743)","51.2010","-1.8050","South West England","21:00","2015-07-30","W","7","","30000","12.80","1020","R","Clear sky (Night)",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","21:00","2015-07-30","NNE","7","","25000","9.50","1022","R","Clear sky (Night)",
"3840","DUNKESWELL AERODROME (3840)","50.8600","-3.2390","South West England","21:00","2015-07-30","NNW","3","","50000","10.00","1021","R","Clear sky (Night)",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","21:00","2015-07-30","N","2","","45000","11.90","1020","R","Clear sky (Night)",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","21:00","2015-07-30","WNW","6","","30000","12.30","1020","R","Clear sky (Night)",
"3772","HEATHROW (3772)","51.4790","-0.4490","London & South East England","21:00","2015-07-30","N","5","","19000","15.60","1020","R","Clear sky (Night)",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","21:00","2015-07-30","E","2","","29000","11.70","1020","R","Clear sky (Night)",
"3008","FAIR ISLE (3008)","59.5300","-1.6300","Orkney & Shetland","21:00","2015-07-30","WNW","9","","50000","9.30","1015","#","(White) Medium-level cloud",
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","21:00","2015-07-30","SSW","7","","45000","10.30","1016","F","(Black) Low-level cloud",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","21:00","2015-07-30","SW","24","40","","4.20","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","21:00","2015-07-30","SW","2","","23000","10.40","1017","R","(Black) Low-level cloud",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","21:00","2015-07-30","SE","7","","25000","11.00","1016","F","(White) Medium-level cloud",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","21:00","2015-07-30","SW","9","","21000","11.40","1016","F","(Black) Low-level cloud",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","21:00","2015-07-30","SW","9","","28000","13.10","1018","S","(Black) Low-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","21:00","2015-07-30","W","9","","50000","11.20","1017","R","(White) Medium-level cloud",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","21:00","2015-07-30","VRB","0","","50000","7.80","1019","R","(White) Medium-level cloud",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","21:00","2015-07-30","SSW","6","","50000","11.70","1018","F","(White) Medium-level cloud",
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","21:00","2015-07-30","SW","6","","40000","12.30","1019","F","(White) Medium-level cloud",
"3305","CAPEL CURIG SAWS (3305)","53.0930","-3.9410","Wales","21:00","2015-07-30","SW","3","","40000","7.90","1022","R","Clear sky (Night)",
"3409","BALA (3409)","52.9200","-3.5800","Wales","21:00","2015-07-30","ENE","2","","","7.50","1021","R","N/A",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","21:00","2015-07-30","NNE","1","","26000","4.30","1022","R","Clear sky (Night)",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","21:00","2015-07-30","NW","6","","35000","12.50","1021","R","Clear sky (Night)",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","21:00","2015-07-30","W","13","","50000","13.10","1020","R","(White) Medium-level cloud",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","21:00","2015-07-30","W","17","","","5.50","","#","N/A",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","21:00","2015-07-30","W","5","","50000","9.30","1018","R","Partly cloudy (Night)",
