Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","10:00","2015-09-02","N","25","39","30000","10.70","1014","F","(White) Medium-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","10:00","2015-09-02","N","13","","40000","12.10","1020","F","(White) Medium-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","10:00","2015-09-02","NW","34","41","","2.50","","#","N/A",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","10:00","2015-09-02","N","21","","45000","11.70","1021","S","(Black) Low-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","10:00","2015-09-02","NNW","11","","35000","13.30","1017","F","Sunny (Day)",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","10:00","2015-09-02","NW","13","","26000","12.00","1020","F","(Black) Low-level cloud",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","10:00","2015-09-02","W","6","","15000","11.70","1019","R","Heavy rain shower (Day)",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","10:00","2015-09-02","NNW","13","","45000","13.00","1021","R","(Black) Low-level cloud",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","10:00","2015-09-02","WNW","13","","30000","15.50","1018","S","Sunny intervals",
"3275","LOFTUS (3275)","54.5700","-0.8700","North East England","10:00","2015-09-02","NW","11","","15000","11.90","1016","R","(Black) Low-level cloud",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","10:00","2015-09-02","NW","8","","50000","14.40","1017","R","Sunny intervals",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","10:00","2015-09-02","W","8","","35000","13.80","1018","R","(White) Medium-level cloud",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","10:00","2015-09-02","NNW","10","","40000","14.00","1017","R","(White) Medium-level cloud",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","10:00","2015-09-02","N","7","","40000","14.60","1017","R","(White) Medium-level cloud",
"3693","SHOEBURYNESS (3693)","51.5540","0.8300","East of England","10:00","2015-09-02","NW","7","","29000","16.00","1017","R","Sunny (Day)",
"3743","LARKHILL (3743)","51.2010","-1.8050","South West England","10:00","2015-09-02","NW","3","","30000","14.50","1019","R","Sunny intervals",
"3839","EXETER AIRPORT (3839)","50.7370","-3.4050","South West England","10:00","2015-09-02","VRB","-99","","","14.60","","#","N/A",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","10:00","2015-09-02","NW","8","","60000","14.60","1018","R","(White) Medium-level cloud",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","10:00","2015-09-02","WNW","7","","30000","13.90","1018","R","(White) Medium-level cloud",
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","10:00","2015-09-02","N","28","38","19000","11.40","1015","F","(Black) Low-level cloud",
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","10:00","2015-09-02","WNW","11","","7000","9.10","1020","F","Light rain shower (Day)",
"3075","WICK AIRPORT (3075)","58.4540","-3.0890","Highland & Eilean Siar","10:00","2015-09-02","N","24","33","28000","11.20","1017","S","(Black) Low-level cloud",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","10:00","2015-09-02","NW","21","32","50000","10.80","1015","F","(Black) Low-level cloud",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","10:00","2015-09-02","NW","7","","27000","12.40","1018","F","(Black) Low-level cloud",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","10:00","2015-09-02","N","9","","50000","12.00","1017","F","(White) Medium-level cloud",
"3305","CAPEL CURIG SAWS (3305)","53.0930","-3.9410","Wales","10:00","2015-09-02","W","8","","29000","11.90","1019","R","(Black) Low-level cloud",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","10:00","2015-09-02","NW","16","","30000","12.00","1020","R","(White) Medium-level cloud",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","10:00","2015-09-02","NNW","2","","35000","13.90","1018","F","(White) Medium-level cloud",
"3240","BOULMER (3240)","55.4210","-1.6000","North East England","10:00","2015-09-02","NW","14","","40000","13.30","1016","F","Sunny intervals",
"3265","TOPCLIFFE (3265)","54.2040","-1.3900","Yorkshire & Humber","10:00","2015-09-02","N","10","","50000","14.30","1017","F","Sunny intervals",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","10:00","2015-09-02","VRB","-99","","","14.50","","#","N/A",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","10:00","2015-09-02","NNW","9","","30000","14.60","1017","R","(White) Medium-level cloud",
"3469","HOLBEACH (3469)","52.8730","0.1410","East Midlands","10:00","2015-09-02","NNW","7","","30000","14.50","1017","R","Sunny intervals",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","10:00","2015-09-02","W","9","","25000","14.60","1017","R","Sunny intervals",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","10:00","2015-09-02","WNW","7","","","13.80","1019","R","Sunny (Day)",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","10:00","2015-09-02","N","7","","7000","12.70","1021","R","Light rain shower (Day)",
"3862","HURN (3862)","50.7790","-1.8350","South West England","10:00","2015-09-02","N","7","","40000","15.50","1019","S","(White) Medium-level cloud",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","10:00","2015-09-02","WNW","7","","30000","14.70","1019","R","Sunny intervals",
"3872","THORNEY ISLAND (3872)","50.8200","-0.9200","London & South East England","10:00","2015-09-02","NW","8","","45000","15.50","1018","R","Sunny intervals",
