Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","08:00","2015-09-14","NE","7","","19000","11.40","1001","F","(White) Medium-level cloud",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","08:00","2015-09-14","ENE","8","","45000","10.10","999","F","Sunny intervals",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","08:00","2015-09-14","NW","7","","30000","10.60","1000","F","Sunny intervals",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","08:00","2015-09-14","WSW","3","","700","9.70","1000","F","Fog",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","08:00","2015-09-14","E","14","","15000","12.80","997","F","(White) Medium-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","08:00","2015-09-14","NE","9","","","8.40","","#","N/A",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","08:00","2015-09-14","NW","2","","10000","10.00","997","F","(White) Medium-level cloud",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","08:00","2015-09-14","NNE","3","","24000","11.30","996","F","Sunny (Day)",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","08:00","2015-09-14","NE","14","","35000","11.80","993","F","Light rain",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","08:00","2015-09-14","SE","15","","20000","12.10","990","F","(White) Medium-level cloud",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","08:00","2015-09-14","E","9","","15000","12.40","990","F","(Black) Low-level cloud",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","08:00","2015-09-14","NNE","1","","18000","9.50","996","F","(Black) Low-level cloud",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","08:00","2015-09-14","NE","2","","9000","6.50","996","F","(White) Medium-level cloud",
"3318","BLACKPOOL (3318)","53.1700","-2.9800","North West England","08:00","2015-09-14","ENE","9","","","10.20","","#","N/A",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","08:00","2015-09-14","NNW","8","","8000","10.10","995","F","(Black) Low-level cloud",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","08:00","2015-09-14","VRB","-99","","","10.20","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","08:00","2015-09-14","ENE","8","","6000","11.20","992","F","(Black) Low-level cloud",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","08:00","2015-09-14","NNE","7","","20000","9.30","995","F","Light rain",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","08:00","2015-09-14","E","7","","3000","11.70","995","F","(Black) Low-level cloud",
"3684","ANDREWS FIELD (3684)","51.8960","0.4530","East of England","08:00","2015-09-14","SSE","5","","10000","14.10","994","F","(Black) Low-level cloud",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","08:00","2015-09-14","E","7","","","11.70","992","F","(White) Medium-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","08:00","2015-09-14","WNW","24","43","10000","10.70","994","R","(Black) Low-level cloud",
"3839","EXETER AIRPORT (3839)","50.7370","-3.4050","South West England","08:00","2015-09-14","VRB","-99","","","13.90","","#","N/A",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","08:00","2015-09-14","ESE","10","","10000","14.20","992","F","(White) Medium-level cloud",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","08:00","2015-09-14","SE","9","","6000","14.10","992","F","Light rain shower (Day)",
"3784","GRAVESEND-BROADNESS (3784)","51.4640","0.3140","London & South East England","08:00","2015-09-14","SSE","6","","","15.50","993","F","N/A",
"3876","SHOREHAM (3876)","50.8360","-0.2920","London & South East England","08:00","2015-09-14","SSW","17","","","15.20","993","F","N/A",
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","08:00","2015-09-14","NE","11","","28000","10.90","1003","F","(White) Medium-level cloud",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","08:00","2015-09-14","ENE","7","","45000","13.00","1000","F","Sunny (Day)",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","08:00","2015-09-14","NW","1","","7000","4.70","1001","F","Sunny intervals",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","08:00","2015-09-14","NE","19","","","2.80","","#","N/A",
