Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","21:00","2015-01-14","S","36","54","2700","6.90","959","F","Heavy Rain",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","21:00","2015-01-14","SSE","9","29","3900","4.40","965","F","Heavy Rain",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","21:00","2015-01-14","SSE","22","43","3600","2.00","971","F","Heavy Rain",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","21:00","2015-01-14","SSE","78","97","","-4.10","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","21:00","2015-01-14","S","43","57","5000","3.50","978","F","Light rain",
"3134","GLASGOW/BISHOPTON (3134)","55.9070","-4.5330","Strathclyde","21:00","2015-01-14","SSE","23","38","3000","4.20","971","F","Light rain",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","21:00","2015-01-14","S","40","62","6000","9.10","971","F","Light rain",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","21:00","2015-01-14","S","22","46","15000","4.40","974","F","Light rain",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","21:00","2015-01-14","S","18","36","3900","6.30","966","F","Heavy Rain",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","21:00","2015-01-14","SSW","29","47","7000","8.50","967","F","Heavy Rain",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","21:00","2015-01-14","S","24","41","11000","8.80","981","F","(Black) Low-level cloud",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","21:00","2015-01-14","SSW","28","45","9000","5.40","984","F","N/A",
