Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3008","FAIR ISLE (3008)","59.5300","-1.6300","Orkney & Shetland","23:00","2015-08-22","E","9","","2500","12.70","1016","R","(White) Medium-level cloud",
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","23:00","2015-08-22","W","2","","35000","11.60","1014","F","(Black) Low-level cloud",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","23:00","2015-08-22","N","1","","13000","12.50","1013","F","Heavy rain shower (Night)",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","23:00","2015-08-22","ESE","11","","25000","15.40","1013","F","Light rain",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","23:00","2015-08-22","NNE","8","","23000","14.30","1010","F","(Black) Low-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","23:00","2015-08-22","ENE","7","","18000","14.10","1013","F","(Black) Low-level cloud",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","23:00","2015-08-22","NE","6","","4700","14.40","1011","F","Heavy Rain",
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","23:00","2015-08-22","NNE","5","","16000","13.30","1008","F","(Black) Low-level cloud",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","23:00","2015-08-22","SSE","3","","14000","16.40","1007","F","Heavy rain shower (Night)",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","23:00","2015-08-22","E","7","","27000","17.30","1006","F","(Black) Low-level cloud",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","23:00","2015-08-22","ENE","15","","8000","16.80","1006","F","Light rain",
"3316","CROSBY (3316)","53.4970","-3.0560","North West England","23:00","2015-08-22","E","8","","14000","17.60","1006","F","(Black) Low-level cloud",
"3240","BOULMER (3240)","55.4210","-1.6000","North East England","23:00","2015-08-22","N","3","","1000","14.90","1011","F","Heavy Rain",
"3265","TOPCLIFFE (3265)","54.2040","-1.3900","Yorkshire & Humber","23:00","2015-08-22","W","3","","11000","17.90","1010","F","(Black) Low-level cloud",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","23:00","2015-08-22","VRB","-99","","","19.10","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","23:00","2015-08-22","E","5","","6000","17.60","1007","F","Heavy rain shower (Night)",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","23:00","2015-08-22","SE","11","","20000","18.80","1009","F","Partly cloudy (Night)",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","23:00","2015-08-22","ESE","15","","15000","19.40","1010","F","(White) Medium-level cloud",
"3560","BEDFORD (3560)","52.2250","-0.4640","East of England","23:00","2015-08-22","ESE","14","","30000","19.60","1008","F","Partly cloudy (Night)",
"3647","LITTLE RISSINGTON (ESAWS) (3647)","51.8600","-1.6920","South West England","23:00","2015-08-22","SE","7","","24000","17.90","1007","F","(Black) Low-level cloud",
"3746","BOSCOMBE DOWN (3746)","51.1610","-1.7540","South West England","23:00","2015-08-22","NNE","3","","15000","18.20","1006","F","Heavy Rain",
"3823","CARDINHAM (3823)","50.5020","-4.6670","South West England","23:00","2015-08-22","NNW","5","","2700","14.60","1004","F","Heavy Rain",
"3862","HURN (3862)","50.7790","-1.8350","South West England","23:00","2015-08-22","ENE","5","","19000","18.10","1005","F","Light rain",
"3672","NORTHOLT (3672)","51.5480","-0.4150","London & South East England","23:00","2015-08-22","ESE","13","","35000","22.30","1007","F","Clear sky (Night)",
"3772","HEATHROW (3772)","51.4790","-0.4490","London & South East England","23:00","2015-08-22","E","13","","35000","22.40","1007","F","Clear sky (Night)",
"3872","THORNEY ISLAND (3872)","50.8200","-0.9200","London & South East England","23:00","2015-08-22","ESE","19","30","35000","22.00","1005","F","(Black) Low-level cloud",
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","23:00","2015-08-22","SE","9","","11000","13.20","1017","R","Mist",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","23:00","2015-08-22","E","8","","26000","13.40","1011","F","(Black) Low-level cloud",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","23:00","2015-08-22","E","5","","50000","13.00","1012","F","(Black) Low-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","23:00","2015-08-22","SE","29","34","","8.90","","#","N/A",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","23:00","2015-08-22","ENE","3","","2900","13.70","1014","F","Heavy Rain",
"3134","GLASGOW/BISHOPTON (3134)","55.9070","-4.5330","Strathclyde","23:00","2015-08-22","ESE","9","","30000","15.20","1010","F","(Black) Low-level cloud",
"3153","DUNDRENNAN (3153)","54.8030","-4.0080","Dumfries, Galloway","23:00","2015-08-22","ENE","24","32","9000","15.50","1007","F","Light rain",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","23:00","2015-08-22","NNE","5","","30000","13.70","1008","F","(Black) Low-level cloud",
"3305","CAPEL CURIG SAWS (3305)","53.0930","-3.9410","Wales","23:00","2015-08-22","E","9","","30000","15.50","1007","F","(Black) Low-level cloud",
"3409","BALA (3409)","52.9200","-3.5800","Wales","23:00","2015-08-22","ENE","3","","","16.00","1006","F","N/A",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","23:00","2015-08-22","E","6","","14000","17.00","1005","F","(Black) Low-level cloud",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","23:00","2015-08-22","E","13","","10000","18.00","1007","F","Heavy rain shower (Night)",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","23:00","2015-08-22","SE","7","","15000","15.90","1011","F","(White) Medium-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","23:00","2015-08-22","N","5","","3600","16.60","1010","F","Mist",
"3344","BINGLEY SAMOS (3344)","53.8110","-1.8650","Yorkshire & Humber","23:00","2015-08-22","E","5","","5000","16.50","1009","F","(White) Medium-level cloud",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","23:00","2015-08-22","E","3","","15000","16.90","1007","F","(Black) Low-level cloud",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","23:00","2015-08-22","E","8","","27000","20.40","1008","F","(Black) Low-level cloud",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","23:00","2015-08-22","ESE","16","","11000","18.10","1010","F","Clear sky (Night)",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","23:00","2015-08-22","ESE","8","","20000","19.80","1009","F","Partly cloudy (Night)",
"3693","SHOEBURYNESS (3693)","51.5540","0.8300","East of England","23:00","2015-08-22","ESE","16","","22000","20.30","1009","F","N/A",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","23:00","2015-08-22","S","7","","","18.40","1007","F","(White) Medium-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","23:00","2015-08-22","NW","9","","12000","13.60","1005","F","Light rain",
"3840","DUNKESWELL AERODROME (3840)","50.8600","-3.2390","South West England","23:00","2015-08-22","ESE","8","","3800","16.20","1005","F","(Black) Low-level cloud",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","23:00","2015-08-22","SSE","6","","27000","21.90","1007","F","(Black) Low-level cloud",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","23:00","2015-08-22","ESE","11","","30000","21.00","1007","F","(White) Medium-level cloud",
"3796","LANGDON BAY (3796)","51.1330","1.3480","London & South East England","23:00","2015-08-22","E","17","","","20.10","1009","F","N/A",
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","23:00","2015-08-22","S","3","","6000","13.30","1017","F","Drizzle",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","23:00","2015-08-22","E","6","","30000","12.80","1013","F","(White) Medium-level cloud",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","23:00","2015-08-22","SE","21","40","","7.50","","#","N/A",
"3066","KINLOSS (3066)","57.6494","-3.5606","Grampian","23:00","2015-08-22","ESE","6","","35000","15.90","1013","F","(Black) Low-level cloud",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","23:00","2015-08-22","ENE","6","","18000","12.70","1011","F","(Black) Low-level cloud",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","23:00","2015-08-22","ENE","9","","16000","15.70","1009","F","(Black) Low-level cloud",
"3158","CHARTERHALL (3158)","55.7090","-2.3830","Dumfries, Galloway","23:00","2015-08-22","NE","8","","1500","15.00","1012","F","Heavy rain shower (Night)",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","23:00","2015-08-22","NNW","3","","17000","13.20","1008","F","(Black) Low-level cloud",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","23:00","2015-08-22","VRB","0","","5000","15.60","1007","F","(Black) Low-level cloud",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","23:00","2015-08-22","E","8","","100","15.90","1004","F","Heavy Rain",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","23:00","2015-08-22","ESE","13","","5000","18.50","1005","F","Heavy rain shower (Night)",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","23:00","2015-08-22","VRB","-99","0","8000","15.30","1009","F","Heavy Rain",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","23:00","2015-08-22","ENE","6","","30000","16.10","1010","F","(Black) Low-level cloud",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","23:00","2015-08-22","NNW","6","","11000","17.10","1010","F","(Black) Low-level cloud",
"3382","LECONFIELD SAR (3382)","53.8670","-0.4330","Yorkshire & Humber","23:00","2015-08-22","SE","7","","10000","18.60","1010","F","Partly cloudy (Night)",
"3520","SHOBDON SAWS (3520)","52.2420","-2.8850","West Midlands","23:00","2015-08-22","E","5","","13000","16.90","1007","F","(Black) Low-level cloud",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","23:00","2015-08-22","ESE","10","","16000","19.80","1009","F","Clear sky (Night)",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","23:00","2015-08-22","E","9","","15000","19.50","1010","F","Partly cloudy (Night)",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","23:00","2015-08-22","ESE","15","","20000","20.30","1010","F","Partly cloudy (Night)",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","23:00","2015-08-22","SE","5","","15000","18.90","1006","F","Heavy Rain",
"3743","LARKHILL (3743)","51.2010","-1.8050","South West England","23:00","2015-08-22","E","2","","14000","18.10","1006","F","(Black) Low-level cloud",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","23:00","2015-08-22","WNW","7","","5000","13.70","1005","F","(Black) Low-level cloud",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","23:00","2015-08-22","W","5","","35000","18.50","1005","F","(Black) Low-level cloud",
"3660","HIGH WYCOMBE (3660)","51.6800","-0.8020","London & South East England","23:00","2015-08-22","ESE","10","","30000","20.40","1007","F","Partly cloudy (Night)",
"3769","CHARLWOOD (3769)","51.1500","-0.2333","London & South East England","23:00","2015-08-22","ENE","8","","30000","21.20","1007","F","Clear sky (Night)",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","23:00","2015-08-22","E","18","","30000","20.90","1009","F","N/A",
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","23:00","2015-08-22","SSE","9","","13000","13.00","1015","F","(Black) Low-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","23:00","2015-08-22","NE","10","","40000","14.20","1013","F","(Black) Low-level cloud",
"3075","WICK AIRPORT (3075)","58.4540","-3.0890","Highland & Eilean Siar","23:00","2015-08-22","ESE","8","","16000","13.40","1014","F","(Black) Low-level cloud",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","23:00","2015-08-22","NNE","9","","3800","13.10","1013","F","Heavy Rain",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","23:00","2015-08-22","NNW","7","","18000","14.40","1009","F","Clear sky (Night)",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","23:00","2015-08-22","ENE","10","","35000","15.40","1007","F","Clear sky (Night)",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","23:00","2015-08-22","E","11","","2700","13.80","1011","F","Heavy Rain",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","23:00","2015-08-22","NE","15","","10000","15.60","1005","F","(White) Medium-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","23:00","2015-08-22","SE","8","","3500","16.30","1006","F","(Black) Low-level cloud",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","23:00","2015-08-22","ESE","13","","10000","16.50","1004","F","(Black) Low-level cloud",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","23:00","2015-08-22","SE","5","","20000","17.10","1008","F","Light rain",
"3318","BLACKPOOL (3318)","53.1700","-2.9800","North West England","23:00","2015-08-22","E","11","","","17.60","","#","N/A",
"3275","LOFTUS (3275)","54.5700","-0.8700","North East England","23:00","2015-08-22","SE","11","","9000","16.70","1010","F","(White) Medium-level cloud",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","23:00","2015-08-22","ENE","2","","8000","17.20","1010","#","(Black) Low-level cloud",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","23:00","2015-08-22","E","16","","30000","18.40","1007","F","(Black) Low-level cloud",
"3535","COLESHILL (3535)","52.4800","-1.6890","West Midlands","23:00","2015-08-22","WSW","6","","20000","19.60","1008","F","Light rain shower (Night)",
"3379","CRANWELL (3379)","53.0300","-0.5000","East Midlands","23:00","2015-08-22","ESE","9","","14000","18.50","1009","F","(Black) Low-level cloud",
"3469","HOLBEACH (3469)","52.8730","0.1410","East Midlands","23:00","2015-08-22","SE","15","","30000","19.80","1010","F","(White) Medium-level cloud",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","23:00","2015-08-22","ESE","11","","29000","20.50","1010","F","Clear sky (Night)",
"3707","CHIVENOR (3707)","51.0890","-4.1490","South West England","23:00","2015-08-22","E","14","","9000","17.70","1004","F","Light rain shower (Night)",
"3803","SCILLY ST MARYS (3803)","49.9130","-6.3010","South West England","23:00","2015-08-22","NW","3","","6000","14.10","1006","F","(White) Medium-level cloud",
"3839","EXETER AIRPORT (3839)","50.7370","-3.4050","South West England","23:00","2015-08-22","VRB","-99","","","17.20","","#","N/A",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","23:00","2015-08-22","ENE","1","","35000","19.80","1007","F","(White) Medium-level cloud",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","23:00","2015-08-22","N","5","","15000","19.20","1006","F","(Black) Low-level cloud",
"3781","KENLEY (3781)","51.3030","-0.0900","London & South East England","23:00","2015-08-22","ESE","8","","50000","21.80","1008","F","Clear sky (Night)",
"3882","HERSTMONCEUX WEST END (3882)","50.8900","0.3190","London & South East England","23:00","2015-08-22","E","10","","40000","22.70","1007","F","Clear sky (Night)",
