Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","08:00","2015-12-13","WSW","9","","50000","1.20","1016","R","Clear sky (Night)",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","08:00","2015-12-13","NNE","2","","19000","2.40","1018","R","Heavy rain shower (Night)",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","08:00","2015-12-13","W","3","","50000","-1.80","1018","R","Partly cloudy (Night)",
"3075","WICK AIRPORT (3075)","58.4540","-3.0890","Highland & Eilean Siar","08:00","2015-12-13","WSW","8","","30000","-0.10","1017","R","(White) Medium-level cloud",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","08:00","2015-12-13","W","11","","40000","0.60","1018","R","(White) Medium-level cloud",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","08:00","2015-12-13","ENE","2","","45000","2.80","1017","R","(Black) Low-level cloud",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","08:00","2015-12-13","E","5","","22000","-2.40","1018","R","(White) Medium-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","08:00","2015-12-13","W","6","","30000","-1.80","1018","R","Partly cloudy (Night)",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","08:00","2015-12-13","NNW","1","","45000","-3.40","1020","R","(White) Medium-level cloud",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","08:00","2015-12-13","E","5","","30000","2.50","1017","F","(Black) Low-level cloud",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","08:00","2015-12-13","ESE","9","","","-99.00","","#","N/A",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","08:00","2015-12-13","SE","3","","4900","2.00","1018","R","Mist",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","08:00","2015-12-13","SSE","9","","14000","7.30","1015","F","(White) Medium-level cloud",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","08:00","2015-12-13","SE","3","","12000","9.10","1016","R","(Black) Low-level cloud",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","08:00","2015-12-13","E","3","","30000","0.40","1018","R","Clear sky (Night)",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","08:00","2015-12-13","WSW","1","","400","-2.80","1019","R","Fog",
"3316","CROSBY (3316)","53.4970","-3.0560","North West England","08:00","2015-12-13","E","5","","14000","1.90","1018","R","(Black) Low-level cloud",
"3240","BOULMER (3240)","55.4210","-1.6000","North East England","08:00","2015-12-13","W","6","","25000","1.10","1019","R","Clear sky (Night)",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","08:00","2015-12-13","NNW","6","","","1.40","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","08:00","2015-12-13","VRB","-99","","","-0.90","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","08:00","2015-12-13","ENE","5","","3600","4.80","1018","R","Heavy Rain",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","08:00","2015-12-13","NE","3","","8000","1.00","1019","R","Mist",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","08:00","2015-12-13","W","6","","7000","1.80","1019","R","(Black) Low-level cloud",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","08:00","2015-12-13","NE","3","","4700","3.00","1019","R","Light rain shower (Night)",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","08:00","2015-12-13","VRB","0","","5000","4.80","1019","R","Light rain",
"3647","LITTLE RISSINGTON (ESAWS) (3647)","51.8600","-1.6920","South West England","08:00","2015-12-13","E","10","","2500","3.90","1018","R","(Black) Low-level cloud",
"3743","LARKHILL (3743)","51.2010","-1.8050","South West England","08:00","2015-12-13","ENE","2","","2800","8.20","1017","R","(Black) Low-level cloud",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","08:00","2015-12-13","SSW","8","","15000","11.70","1017","R","(White) Medium-level cloud",
"3840","DUNKESWELL AERODROME (3840)","50.8600","-3.2390","South West England","08:00","2015-12-13","SW","8","","20000","9.80","1017","R","(Black) Low-level cloud",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","08:00","2015-12-13","E","7","","2600","5.00","1018","R","Light rain",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","08:00","2015-12-13","ENE","6","","8000","7.70","1018","R","(Black) Low-level cloud",
"3772","HEATHROW (3772)","51.4790","-0.4490","London & South East England","08:00","2015-12-13","E","6","","2700","6.40","1019","R","Drizzle",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","08:00","2015-12-13","ENE","3","","6000","6.80","1019","R","Light rain shower (Night)",
"3882","HERSTMONCEUX WEST END (3882)","50.8900","0.3190","London & South East England","08:00","2015-12-13","ENE","6","","19000","8.90","1018","R","(Black) Low-level cloud",
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","08:00","2015-12-13","WSW","13","","10000","2.30","1014","R","Heavy rain shower (Night)",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","08:00","2015-12-13","S","10","","30000","1.30","1017","R","(Black) Low-level cloud",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","08:00","2015-12-13","ESE","3","","40000","-0.60","1018","R","(Black) Low-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","08:00","2015-12-13","SSW","1","","50000","-5.90","1020","R","Clear sky (Night)",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","08:00","2015-12-13","NNW","5","","","-5.70","","#","N/A",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","08:00","2015-12-13","VRB","0","","40000","-2.80","1019","R","Clear sky (Night)",
