Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","00:00","2015-04-08","W","7","","8000","5.80","1034","R","(Black) Low-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","00:00","2015-04-08","E","3","","50000","7.70","1034","F","(Black) Low-level cloud",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","00:00","2015-04-08","SSE","1","","8000","6.70","1034","F","(Black) Low-level cloud",
"3075","WICK AIRPORT (3075)","58.4540","-3.0890","Highland & Eilean Siar","00:00","2015-04-08","W","7","","6000","6.60","1034","R","Mist",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","00:00","2015-04-08","WSW","2","","35000","6.00","1035","R","(Black) Low-level cloud",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","00:00","2015-04-08","SE","5","","1600","1.70","1035","F","Partly cloudy (Night)",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","00:00","2015-04-08","S","3","","35000","4.10","1035","F","Clear sky (Night)",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","00:00","2015-04-08","VRB","0","","7000","2.90","1035","F","Clear sky (Night)",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","00:00","2015-04-08","WSW","5","","22000","4.30","1035","S","Clear sky (Night)",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","00:00","2015-04-08","NW","1","","12000","2.80","1036","F","Clear sky (Night)",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","00:00","2015-04-08","ENE","1","","10000","4.60","1035","F","Clear sky (Night)",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","00:00","2015-04-08","SSW","6","","14000","5.20","1035","F","Clear sky (Night)",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","00:00","2015-04-08","N","3","","17000","5.40","1035","F","Clear sky (Night)",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","00:00","2015-04-08","E","2","","17000","8.30","1034","F","Clear sky (Night)",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","00:00","2015-04-08","NNE","6","","12000","5.30","1035","F","Partly cloudy (Night)",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","00:00","2015-04-08","VRB","-99","","12000","4.60","1035","F","Clear sky (Night)",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","00:00","2015-04-08","NNW","11","","","-99.00","","#","N/A",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","00:00","2015-04-08","SW","3","","25000","3.50","1035","F","Clear sky (Night)",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","00:00","2015-04-08","NW","7","","26000","7.00","1035","S","Partly cloudy (Night)",
"3292","BRIDLINGTON MRSC (3292)","54.0940","-0.1740","Yorkshire & Humber","00:00","2015-04-08","SSW","3","","","7.80","1034","F","(Black) Low-level cloud",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","00:00","2015-04-08","NNE","7","","13000","6.50","1035","F","(White) Medium-level cloud",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","00:00","2015-04-08","NNW","1","","10000","8.60","1035","F","(Black) Low-level cloud",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","00:00","2015-04-08","SSE","5","","15000","6.50","1034","F","Clear sky (Night)",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","00:00","2015-04-08","NNE","1","","14000","5.80","1035","F","(White) Medium-level cloud",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","00:00","2015-04-08","NE","5","","7000","5.80","1034","F","Clear sky (Night)",
"3684","ANDREWS FIELD (3684)","51.8960","0.4530","East of England","00:00","2015-04-08","W","2","","5000","8.00","1034","F","Mist",
"3647","LITTLE RISSINGTON (ESAWS) (3647)","51.8600","-1.6920","South West England","00:00","2015-04-08","N","9","","9000","8.70","1034","F","(White) Medium-level cloud",
"3743","LARKHILL (3743)","51.2010","-1.8050","South West England","00:00","2015-04-08","VRB","0","","6000","6.30","1035","F","Clear sky (Night)",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","00:00","2015-04-08","ENE","14","","12000","6.20","1033","F","Partly cloudy (Night)",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","00:00","2015-04-08","SE","1","","7000","5.40","1034","F","Clear sky (Night)",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","00:00","2015-04-08","VRB","0","","12000","3.60","1035","S","Partly cloudy (Night)",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","00:00","2015-04-08","SW","3","","7000","7.30","1035","F","Clear sky (Night)",
"3781","KENLEY (3781)","51.3030","-0.0900","London & South East England","00:00","2015-04-08","SSW","2","","8000","7.70","1034","F","(White) Medium-level cloud",
"3866","ST CATHERINES PT. (3866)","50.5770","-1.2970","London & South East England","00:00","2015-04-08","ENE","5","","","6.00","1034","F","N/A",
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","00:00","2015-04-08","WNW","15","","15000","5.80","1032","R","(White) Medium-level cloud",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","00:00","2015-04-08","S","7","","3400","8.40","1033","F","Mist",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","00:00","2015-04-08","S","6","","21000","8.10","1034","F","(Black) Low-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","00:00","2015-04-08","S","5","","30000","3.40","1036","F","(White) Medium-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","00:00","2015-04-08","VRB","-99","","","-99.00","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","00:00","2015-04-08","VRB","-99","","","6.40","1035","R","Partly cloudy (Night)",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","00:00","2015-04-08","E","6","","20000","2.90","1035","F","Clear sky (Night)",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","00:00","2015-04-08","WSW","2","","20000","2.50","1035","R","Clear sky (Night)",
"3153","DUNDRENNAN (3153)","54.8030","-4.0080","Dumfries, Galloway","00:00","2015-04-08","NNE","5","","35000","6.50","1035","F","Clear sky (Night)",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","00:00","2015-04-08","WSW","10","","","-99.00","","#","N/A",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","00:00","2015-04-08","W","1","","11000","5.00","1035","F","Clear sky (Night)",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","00:00","2015-04-08","NNW","1","","","-99.00","","#","N/A",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","00:00","2015-04-08","VRB","0","","11000","3.40","1035","F","Clear sky (Night)",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","00:00","2015-04-08","E","5","","20000","8.60","1034","F","Clear sky (Night)",
