Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","11:00","2015-01-28","WNW","25","38","19000","2.70","978","F","Light rain shower (Day)",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","11:00","2015-01-28","NW","15","32","1700","1.50","982","F","Heavy rain shower (Day)",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","11:00","2015-01-28","W","19","40","50000","1.80","983","F","(White) Medium-level cloud",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","11:00","2015-01-28","W","28","46","25000","4.40","991","F","(White) Medium-level cloud",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","11:00","2015-01-28","W","24","49","15000","3.50","995","R","Light rain shower (Day)",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","11:00","2015-01-28","W","14","38","8000","2.70","999","R","Light rain",
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","11:00","2015-01-28","W","22","32","28000","1.70","998","R","(White) Medium-level cloud",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","11:00","2015-01-28","W","22","37","30000","4.20","1000","R","(Black) Low-level cloud",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","11:00","2015-01-28","WNW","8","21","13000","2.80","1004","F","Heavy rain shower (Day)",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","11:00","2015-01-28","W","41","52","16000","3.70","994","R","(White) Medium-level cloud",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","11:00","2015-01-28","WNW","21","39","29000","1.70","993","F","(White) Medium-level cloud",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","11:00","2015-01-28","WNW","15","47","20000","4.20","994","R","(White) Medium-level cloud",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","11:00","2015-01-28","WNW","24","45","8000","1.60","998","F","Sleet",
"3535","COLESHILL (3535)","52.4800","-1.6890","West Midlands","11:00","2015-01-28","W","22","48","40000","6.60","998","F","(White) Medium-level cloud",
"3379","CRANWELL (3379)","53.0300","-0.5000","East Midlands","11:00","2015-01-28","W","22","51","30000","5.30","996","F","(White) Medium-level cloud",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","11:00","2015-01-28","SW","25","38","10000","9.50","995","F","Light rain",
"3696","WALTON-ON-THE-NAZE (3696)","51.8500","1.2800","East of England","11:00","2015-01-28","SSW","21","38","","-99.00","","#","N/A",
"3746","BOSCOMBE DOWN (3746)","51.1610","-1.7540","South West England","11:00","2015-01-28","W","18","","30000","8.90","1002","F","(White) Medium-level cloud",
"3827","MOUNT BATTEN (3827)","50.3540","-4.1210","South West England","11:00","2015-01-28","W","29","45","6000","9.30","1008","F","Light rain shower (Day)",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","11:00","2015-01-28","WSW","23","41","30000","9.40","1000","F","(White) Medium-level cloud",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","11:00","2015-01-28","WSW","29","54","30000","8.90","1002","F","(White) Medium-level cloud",
"3784","GRAVESEND-BROADNESS (3784)","51.4640","0.3140","London & South East England","11:00","2015-01-28","SW","18","31","","10.10","1000","F","N/A",
"3876","SHOREHAM (3876)","50.8360","-0.2920","London & South East England","11:00","2015-01-28","WSW","25","36","","9.40","1003","F","N/A",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","11:00","2015-01-28","W","22","33","40000","3.10","983","F","Sunny intervals",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","11:00","2015-01-28","WSW","15","36","50000","1.90","982","F","Sunny (Day)",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","11:00","2015-01-28","W","15","","28000","3.90","983","F","Sunny intervals",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","11:00","2015-01-28","WSW","15","","35000","3.10","987","F","Sunny intervals",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","11:00","2015-01-28","W","19","30","19000","1.90","988","F","Light rain",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","11:00","2015-01-28","W","22","34","14000","0.50","998","R","(Black) Low-level cloud",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","11:00","2015-01-28","W","32","49","","-99.00","","#","N/A",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","11:00","2015-01-28","WNW","43","63","20000","4.50","1005","R","(White) Medium-level cloud",
"3609","MUMBLES HEAD (3609)","51.5650","-3.9810","Wales","11:00","2015-01-28","W","21","43","","6.10","1006","R","N/A",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","11:00","2015-01-28","W","25","40","3700","0.50","991","F","Light snow shower (Day)",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","11:00","2015-01-28","W","24","38","27000","2.70","990","F","(White) Medium-level cloud",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","11:00","2015-01-28","W","28","39","","1.70","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","11:00","2015-01-28","W","19","39","21000","6.40","1001","R","(Black) Low-level cloud",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","11:00","2015-01-28","W","17","40","40000","5.60","996","F","(Black) Low-level cloud",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","11:00","2015-01-28","W","30","53","40000","6.00","995","F","(White) Medium-level cloud",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","11:00","2015-01-28","SW","19","34","8000","9.00","998","F","Light rain",
"3710","LISCOMBE (3710)","51.0870","-3.6080","South West England","11:00","2015-01-28","WNW","34","57","1800","4.10","1005","F","(Black) Low-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","11:00","2015-01-28","NW","30","46","20000","8.30","1010","F","(White) Medium-level cloud",
"3857","ISLE OF PORTLAND (3857)","50.5220","-2.4540","South West England","11:00","2015-01-28","WNW","40","59","5000","9.20","1005","F","Light rain",
"3672","NORTHOLT (3672)","51.5480","-0.4150","London & South East England","11:00","2015-01-28","W","22","49","20000","9.40","1000","F","(White) Medium-level cloud",
"3772","HEATHROW (3772)","51.4790","-0.4490","London & South East England","11:00","2015-01-28","WSW","29","52","40000","9.70","1000","F","Sunny intervals",
"3866","ST CATHERINES PT. (3866)","50.5770","-1.2970","London & South East England","11:00","2015-01-28","W","36","48","","9.80","1004","F","N/A",
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","11:00","2015-01-28","SW","24","33","8000","2.60","974","F","Light rain shower (Day)",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","11:00","2015-01-28","WNW","43","62","","-3.50","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","11:00","2015-01-28","SSW","7","","24000","-0.20","985","F","(White) Medium-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","11:00","2015-01-28","WNW","39","61","2000","3.30","992","R","(Black) Low-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","11:00","2015-01-28","WNW","33","48","","-3.10","","#","N/A",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","11:00","2015-01-28","WSW","18","40","","-99.00","","#","N/A",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","11:00","2015-01-28","WNW","23","48","12000","2.30","995","R","Light rain shower (Day)",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","11:00","2015-01-28","W","34","48","30000","5.10","1001","R","Sunny intervals",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","11:00","2015-01-28","W","22","36","19000","5.60","1003","R","(Black) Low-level cloud",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","11:00","2015-01-28","W","37","55","25000","4.60","998","R","(White) Medium-level cloud",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","11:00","2015-01-28","WNW","23","43","26000","2.30","993","F","Sunny intervals",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","11:00","2015-01-28","W","23","36","30000","4.00","993","R","(White) Medium-level cloud",
"3292","BRIDLINGTON MRSC (3292)","54.0940","-0.1740","Yorkshire & Humber","11:00","2015-01-28","W","15","33","","5.40","991","F","(White) Medium-level cloud",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","11:00","2015-01-28","W","21","45","28000","6.90","1000","F","(White) Medium-level cloud",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","11:00","2015-01-28","W","21","48","40000","5.50","995","F","(White) Medium-level cloud",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","11:00","2015-01-28","W","37","63","8000","5.40","995","F","(Black) Low-level cloud",
"3684","ANDREWS FIELD (3684)","51.8960","0.4530","East of England","11:00","2015-01-28","SW","19","33","35000","9.40","998","F","(Black) Low-level cloud",
"3743","LARKHILL (3743)","51.2010","-1.8050","South West England","11:00","2015-01-28","W","24","45","20000","8.60","1002","F","(White) Medium-level cloud",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","11:00","2015-01-28","W","25","46","10000","9.20","1010","F","(Black) Low-level cloud",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","11:00","2015-01-28","W","16","31","15000","9.10","1000","F","(White) Medium-level cloud",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","11:00","2015-01-28","W","25","47","30000","9.30","1003","F","(White) Medium-level cloud",
"3781","KENLEY (3781)","51.3030","-0.0900","London & South East England","11:00","2015-01-28","WSW","21","33","17000","9.20","1001","F","Light rain",
"3874","SOLENT MRSC (3874)","50.8070","-1.2080","London & South East England","11:00","2015-01-28","W","30","52","","9.30","1004","F","N/A",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","11:00","2015-01-28","WNW","41","63","11000","4.20","987","R","Sunny intervals",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","11:00","2015-01-28","W","6","33","500","-0.30","988","F","Heavy snow",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","11:00","2015-01-28","W","19","31","50000","2.30","983","F","Sunny (Day)",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","11:00","2015-01-28","W","31","45","30000","0.20","990","F","(White) Medium-level cloud",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","11:00","2015-01-28","W","18","32","40000","1.60","991","R","(White) Medium-level cloud",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","11:00","2015-01-28","WNW","25","52","9000","3.30","996","R","Heavy rain shower (Day)",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","11:00","2015-01-28","NW","18","36","700","0.50","1000","R","Heavy snow shower (Day)",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","11:00","2015-01-28","W","28","45","25000","2.00","1001","R","(Black) Low-level cloud",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","11:00","2015-01-28","WNW","33","55","17000","4.80","1005","R","(Black) Low-level cloud",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","11:00","2015-01-28","VRB","-99","","13000","3.00","992","R","(White) Medium-level cloud",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","11:00","2015-01-28","W","48","64","","-3.30","","#","N/A",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","11:00","2015-01-28","W","18","52","55000","4.20","994","R","(White) Medium-level cloud",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","11:00","2015-01-28","WNW","19","44","30000","3.50","1000","R","(White) Medium-level cloud",
"3544","CHURCH LAWFORD (3544)","52.3580","-1.3300","West Midlands","11:00","2015-01-28","W","19","51","50000","5.80","998","F","(Black) Low-level cloud",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","11:00","2015-01-28","W","17","56","45000","6.20","993","F","(White) Medium-level cloud",
"3488","WEYBOURNE (3488)","52.9490","1.1270","East of England","11:00","2015-01-28","WSW","23","40","5000","8.70","994","F","Heavy rain shower (Day)",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","11:00","2015-01-28","W","17","52","35000","7.20","1003","F","(White) Medium-level cloud",
"3803","SCILLY ST MARYS (3803)","49.9130","-6.3010","South West England","11:00","2015-01-28","WNW","34","51","11000","9.50","1012","F","(White) Medium-level cloud",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","11:00","2015-01-28","W","22","","7000","9.40","1004","F","(White) Medium-level cloud",
"3660","HIGH WYCOMBE (3660)","51.6800","-0.8020","London & South East England","11:00","2015-01-28","W","15","39","28000","7.80","999","F","Sunny (Day)",
"3768","FARNBOROUGH (3768)","51.2790","-0.7720","London & South East England","11:00","2015-01-28","W","22","60","30000","8.80","1002","F","(White) Medium-level cloud",
