Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","21:00","2015-03-24","ENE","6","","22000","4.00","1013","R","Partly cloudy (Night)",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","21:00","2015-03-24","WNW","6","","45000","1.50","1013","R","(White) Medium-level cloud",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","21:00","2015-03-24","NW","1","","35000","0.30","1012","R","(Black) Low-level cloud",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","21:00","2015-03-24","SSW","2","","45000","0.90","1011","R","(White) Medium-level cloud",
"3162","ESKDALEMUIR (3162)","55.3110","-3.2060","Dumfries, Galloway","21:00","2015-03-24","NW","2","","5000","-1.00","1011","R","Mist",
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","21:00","2015-03-24","NNE","18","","8000","4.00","1014","R","Heavy rain shower (Night)",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","21:00","2015-03-24","N","22","34","","-99.00","","#","N/A",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","21:00","2015-03-24","NNW","21","29","30000","5.90","1012","R","(Black) Low-level cloud",
"3609","MUMBLES HEAD (3609)","51.5650","-3.9810","Wales","21:00","2015-03-24","NNW","10","","","5.50","1013","R","N/A",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","21:00","2015-03-24","W","3","","30000","-0.10","1010","R","Partly cloudy (Night)",
"3316","CROSBY (3316)","53.4970","-3.0560","North West England","21:00","2015-03-24","WNW","7","","20000","4.50","1010","R","Clear sky (Night)",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","21:00","2015-03-24","WNW","2","","28000","3.10","1010","R","Clear sky (Night)",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","21:00","2015-03-24","WSW","7","","29000","1.70","1011","R","Clear sky (Night)",
"3544","CHURCH LAWFORD (3544)","52.3580","-1.3300","West Midlands","21:00","2015-03-24","WNW","3","","29000","2.60","1010","R","Clear sky (Night)",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","21:00","2015-03-24","ESE","1","","20000","3.00","1009","R","Clear sky (Night)",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","21:00","2015-03-24","NE","8","","20000","3.50","1009","R","(White) Medium-level cloud",
"3710","LISCOMBE (3710)","51.0870","-3.6080","South West England","21:00","2015-03-24","NNW","13","","30000","1.70","1012","R","Partly cloudy (Night)",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","21:00","2015-03-24","N","14","","18000","6.70","1014","R","(White) Medium-level cloud",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","21:00","2015-03-24","WNW","5","","20000","3.10","1011","R","Partly cloudy (Night)",
"3660","HIGH WYCOMBE (3660)","51.6800","-0.8020","London & South East England","21:00","2015-03-24","NNW","3","","30000","3.10","1010","R","Partly cloudy (Night)",
"3768","FARNBOROUGH (3768)","51.2790","-0.7720","London & South East England","21:00","2015-03-24","WNW","5","","30000","4.90","1010","R","(Black) Low-level cloud",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","21:00","2015-03-24","VRB","0","","22000","4.80","1009","R","Light rain shower (Night)",
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","21:00","2015-03-24","NNW","1","","50000","2.30","1011","R","Clear sky (Night)",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","21:00","2015-03-24","WNW","7","","30000","2.00","1013","R","Clear sky (Night)",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","21:00","2015-03-24","WNW","11","","50000","3.20","1011","R","Partly cloudy (Night)",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","21:00","2015-03-24","WNW","9","","50000","2.80","1011","R","(White) Medium-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","21:00","2015-03-24","SSW","2","","50000","3.10","1011","R","(White) Medium-level cloud",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","21:00","2015-03-24","SW","3","","20000","1.80","1011","R","Partly cloudy (Night)",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","21:00","2015-03-24","NW","14","","10000","3.20","1014","R","Light rain",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","21:00","2015-03-24","NNW","19","","35000","5.90","1011","R","Partly cloudy (Night)",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","21:00","2015-03-24","WSW","2","33","50000","2.20","1012","R","Partly cloudy (Night)",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","21:00","2015-03-24","N","15","","30000","6.10","1011","R","Clear sky (Night)",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","21:00","2015-03-24","NNW","2","","26000","-0.30","1011","R","Partly cloudy (Night)",
"3238","ALBEMARLE (3238)","55.0200","-1.8800","North East England","21:00","2015-03-24","WNW","3","","15000","0.20","1010","R","Partly cloudy (Night)",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","21:00","2015-03-24","W","5","","","0.30","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","21:00","2015-03-24","W","5","","35000","2.80","1012","R","(White) Medium-level cloud",
"3377","WADDINGTON (3377)","53.1750","-0.5210","East Midlands","21:00","2015-03-24","S","1","","35000","3.90","1009","R","(White) Medium-level cloud",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","21:00","2015-03-24","NNW","7","","7000","3.50","1009","R","(White) Medium-level cloud",
"3684","ANDREWS FIELD (3684)","51.8960","0.4530","East of England","21:00","2015-03-24","NE","3","","24000","3.70","1009","R","Partly cloudy (Night)",
"3743","LARKHILL (3743)","51.2010","-1.8050","South West England","21:00","2015-03-24","WNW","6","","30000","2.00","1011","R","Clear sky (Night)",
"3809","CULDROSE (3809)","50.0850","-5.2570","South West England","21:00","2015-03-24","NNW","13","","20000","5.70","1014","R","Clear sky (Night)",
"3857","ISLE OF PORTLAND (3857)","50.5220","-2.4540","South West England","21:00","2015-03-24","NNW","14","","40000","5.40","1011","R","Clear sky (Night)",
"3672","NORTHOLT (3672)","51.5480","-0.4150","London & South East England","21:00","2015-03-24","N","3","","35000","4.70","1010","R","(White) Medium-level cloud",
"3772","HEATHROW (3772)","51.4790","-0.4490","London & South East England","21:00","2015-03-24","NW","5","","25000","5.80","1010","R","(White) Medium-level cloud",
"3866","ST CATHERINES PT. (3866)","50.5770","-1.2970","London & South East England","21:00","2015-03-24","NW","11","","","5.50","1010","R","N/A",
"3008","FAIR ISLE (3008)","59.5300","-1.6300","Orkney & Shetland","21:00","2015-03-24","ENE","3","","","2.80","1011","R","N/A",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","21:00","2015-03-24","NNE","19","","","-1.90","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","21:00","2015-03-24","NNE","1","","35000","1.60","1012","R","(White) Medium-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","21:00","2015-03-24","NNW","14","","22000","6.10","1012","R","(White) Medium-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","21:00","2015-03-24","E","3","","","-0.60","","#","N/A",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","21:00","2015-03-24","W","7","","","-99.00","","#","N/A",
