Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","07:00","2015-01-28","SW","23","34","13000","5.20","978","F","(White) Medium-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","07:00","2015-01-28","WSW","18","34","21000","3.10","985","F","Heavy rain shower (Night)",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","07:00","2015-01-28","WSW","10","","40000","3.00","983","F","Light rain shower (Night)",
"3075","WICK AIRPORT (3075)","58.4540","-3.0890","Highland & Eilean Siar","07:00","2015-01-28","W","17","29","45000","3.90","982","F","(Black) Low-level cloud",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","07:00","2015-01-28","WSW","22","33","50000","5.40","985","F","(White) Medium-level cloud",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","07:00","2015-01-28","WNW","30","53","14000","2.60","993","F","(Black) Low-level cloud",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","07:00","2015-01-28","W","34","54","21000","4.00","991","F","(Black) Low-level cloud",
"3153","DUNDRENNAN (3153)","54.8030","-4.0080","Dumfries, Galloway","07:00","2015-01-28","W","30","62","19000","5.80","992","F","(Black) Low-level cloud",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","07:00","2015-01-28","W","26","40","","-99.00","","#","N/A",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","07:00","2015-01-28","W","14","39","8000","3.00","996","F","Heavy rain shower (Night)",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","07:00","2015-01-28","WNW","32","52","","-99.00","","#","N/A",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","07:00","2015-01-28","WSW","22","40","50000","11.00","998","F","(White) Medium-level cloud",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","07:00","2015-01-28","WSW","40","56","15000","9.20","1004","F","(Black) Low-level cloud",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","07:00","2015-01-28","WSW","34","43","3300","9.30","1006","F","(White) Medium-level cloud",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","07:00","2015-01-28","W","41","59","3900","5.10","994","F","(White) Medium-level cloud",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","07:00","2015-01-28","WSW","31","49","40000","6.40","991","F","(White) Medium-level cloud",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","07:00","2015-01-28","W","16","41","1100","5.90","991","F","(Black) Low-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","07:00","2015-01-28","WSW","28","43","15000","8.30","994","F","Drizzle",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","07:00","2015-01-28","SSW","23","44","","5.90","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","07:00","2015-01-28","VRB","-99","","","7.80","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","07:00","2015-01-28","SSW","6","","40000","10.80","1003","F","(White) Medium-level cloud",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","07:00","2015-01-28","SSW","14","","5000","7.20","1000","F","(Black) Low-level cloud",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","07:00","2015-01-28","S","21","39","30000","7.90","999","F","(Black) Low-level cloud",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","07:00","2015-01-28","SSW","21","33","30000","6.80","1002","F","(Black) Low-level cloud",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","07:00","2015-01-28","SW","17","29","40000","6.40","1006","F","(Black) Low-level cloud",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","07:00","2015-01-28","SW","17","","2400","8.60","1006","F","Heavy rain shower (Night)",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","07:00","2015-01-28","SW","13","","","7.80","1007","F","(Black) Low-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","07:00","2015-01-28","W","18","","1700","9.80","1012","F","Drizzle",
"3840","DUNKESWELL AERODROME (3840)","50.8600","-3.2390","South West England","07:00","2015-01-28","WSW","15","","35000","8.30","1009","F","(Black) Low-level cloud",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","07:00","2015-01-28","SW","11","23","30000","8.50","1005","F","(Black) Low-level cloud",
"3749","MIDDLE WALLOP (3749)","51.1500","-1.5700","London & South East England","07:00","2015-01-28","SW","16","","4000","8.90","1008","F","Drizzle",
"3772","HEATHROW (3772)","51.4790","-0.4490","London & South East England","07:00","2015-01-28","SW","16","","11000","8.30","1008","F","Drizzle",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","07:00","2015-01-28","SW","21","29","19000","7.30","1009","F","(Black) Low-level cloud",
"3876","SHOREHAM (3876)","50.8360","-0.2920","London & South East England","07:00","2015-01-28","SW","18","","","8.60","1010","F","N/A",
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","07:00","2015-01-28","SSW","16","","15000","6.00","977","F","Partly cloudy (Night)",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","07:00","2015-01-28","W","21","34","16000","2.90","984","F","Light rain",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","07:00","2015-01-28","WSW","41","60","","-4.50","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","07:00","2015-01-28","SW","10","26","30000","2.80","986","F","(White) Medium-level cloud",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","07:00","2015-01-28","WSW","19","43","35000","3.90","984","F","(White) Medium-level cloud",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","07:00","2015-01-28","WNW","34","59","18000","2.20","990","F","Heavy rain shower (Night)",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","07:00","2015-01-28","W","25","45","24000","5.30","992","F","(Black) Low-level cloud",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","07:00","2015-01-28","W","25","47","25000","5.50","994","F","Partly cloudy (Night)",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","07:00","2015-01-28","W","23","44","35000","5.50","989","F","(Black) Low-level cloud",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","07:00","2015-01-28","WNW","32","46","5000","1.70","997","F","Sleet",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","07:00","2015-01-28","WNW","21","46","40000","2.40","997","F","Light rain shower (Night)",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","07:00","2015-01-28","WSW","14","34","6000","9.20","999","F","(Black) Low-level cloud",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","07:00","2015-01-28","WSW","33","53","4300","7.50","1000","F","(Black) Low-level cloud",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","07:00","2015-01-28","W","26","40","22000","9.70","1006","F","(Black) Low-level cloud",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","07:00","2015-01-28","WNW","21","44","30000","7.20","996","F","(White) Medium-level cloud",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","07:00","2015-01-28","VRB","-99","","7000","7.10","992","F","(Black) Low-level cloud",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","07:00","2015-01-28","WSW","53","63","","2.60","","#","N/A",
"3275","LOFTUS (3275)","54.5700","-0.8700","North East England","07:00","2015-01-28","SW","31","45","50000","8.00","993","F","(White) Medium-level cloud",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","07:00","2015-01-28","SW","23","31","30000","9.10","995","F","(White) Medium-level cloud",
"3382","LECONFIELD SAR (3382)","53.8670","-0.4330","Yorkshire & Humber","07:00","2015-01-28","SSW","24","38","35000","7.70","996","F","(White) Medium-level cloud",
