Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","03:00","2015-01-13","WSW","25","37","","1.70","","#","N/A",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","03:00","2015-01-13","W","32","45","3800","0.80","982","R","Light rain",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","03:00","2015-01-13","W","48","70","","-3.70","","#","N/A",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","03:00","2015-01-13","SW","15","31","13000","1.30","986","R","Light rain shower (Night)",
"3066","KINLOSS (3066)","57.6494","-3.5606","Grampian","03:00","2015-01-13","SSW","14","","45000","1.60","986","R","Clear sky (Night)",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","03:00","2015-01-13","WSW","9","","40000","2.10","988","F","(White) Medium-level cloud",
"3134","GLASGOW/BISHOPTON (3134)","55.9070","-4.5330","Strathclyde","03:00","2015-01-13","SW","6","","45000","1.20","991","R","(White) Medium-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","03:00","2015-01-13","WNW","21","45","","-2.60","","#","N/A",
"3158","CHARTERHALL (3158)","55.7090","-2.3830","Dumfries, Galloway","03:00","2015-01-13","W","18","30","20000","2.10","992","F","Light rain shower (Night)",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","03:00","2015-01-13","SSW","13","","40000","1.60","993","F","(White) Medium-level cloud",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","03:00","2015-01-13","WSW","16","","24000","0.50","993","F","Clear sky (Night)",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","03:00","2015-01-13","WSW","28","37","14000","7.10","997","R","(Black) Low-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","03:00","2015-01-13","SW","34","47","40000","6.10","999","R","(Black) Low-level cloud",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","03:00","2015-01-13","W","13","","18000","7.70","1000","F","(Black) Low-level cloud",
"3609","MUMBLES HEAD (3609)","51.5650","-3.9810","Wales","03:00","2015-01-13","W","16","40","","8.20","1002","F","N/A",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","03:00","2015-01-13","W","17","31","23000","5.60","994","F","Heavy rain shower (Night)",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","03:00","2015-01-13","WSW","16","34","9000","4.30","994","F","(Black) Low-level cloud",
"3318","BLACKPOOL (3318)","53.1700","-2.9800","North West England","03:00","2015-01-13","W","29","38","","7.30","","#","N/A",
