Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","08:00","2015-02-13","S","21","29","15000","5.70","1002","F","Light rain shower (Day)",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","08:00","2015-02-13","ESE","16","","12000","6.10","996","F","Light rain shower (Day)",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","08:00","2015-02-13","ESE","10","31","","-0.10","","#","N/A",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","08:00","2015-02-13","NNE","5","","16000","4.40","1000","S","(Black) Low-level cloud",
"3066","KINLOSS (3066)","57.6494","-3.5606","Grampian","08:00","2015-02-13","ESE","14","","16000","4.50","1000","F","(White) Medium-level cloud",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","08:00","2015-02-13","SSE","13","","9000","4.30","1002","F","(Black) Low-level cloud",
"3134","GLASGOW/BISHOPTON (3134)","55.9070","-4.5330","Strathclyde","08:00","2015-02-13","ESE","11","","7000","3.50","998","F","(Black) Low-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","08:00","2015-02-13","SE","21","","","-0.60","","#","N/A",
"3158","CHARTERHALL (3158)","55.7090","-2.3830","Dumfries, Galloway","08:00","2015-02-13","SE","8","","7000","1.80","1001","F","(Black) Low-level cloud",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","08:00","2015-02-13","SE","10","","7000","5.90","990","F","Light rain",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","08:00","2015-02-13","S","16","33","3700","5.10","993","F","Light rain",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","08:00","2015-02-13","SSE","24","38","30000","7.50","995","F","(Black) Low-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","08:00","2015-02-13","SSE","25","37","25000","7.30","996","F","(Black) Low-level cloud",
"3503","TRAWSGOED (3503)","52.3440","-3.9470","Wales","08:00","2015-02-13","SE","15","29","40000","7.70","996","F","(White) Medium-level cloud",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","08:00","2015-02-13","SE","14","","25000","7.00","999","F","Light rain shower (Day)",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","08:00","2015-02-13","SE","19","31","6000","5.40","999","F","(Black) Low-level cloud",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","08:00","2015-02-13","SE","22","32","5000","2.90","1000","F","(Black) Low-level cloud",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","08:00","2015-02-13","SE","13","","1400","0.60","1002","F","(Black) Low-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","08:00","2015-02-13","SSE","14","","2800","2.50","1003","F","(Black) Low-level cloud",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","08:00","2015-02-13","SSE","19","29","","1.00","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","08:00","2015-02-13","VRB","-99","","","3.70","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","08:00","2015-02-13","SE","8","","11000","6.40","1000","F","(Black) Low-level cloud",
"3354","WATNALL (3354)","53.0050","-1.2500","East Midlands","08:00","2015-02-13","SE","11","","5000","4.40","1003","F","(Black) Low-level cloud",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","08:00","2015-02-13","SSE","15","","4100","3.90","1006","F","(Black) Low-level cloud",
"3462","WITTERING (3462)","52.6110","-0.4590","East of England","08:00","2015-02-13","SSE","13","","3000","4.10","1005","F","Mist",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","08:00","2015-02-13","SSE","13","","5000","4.50","1008","F","(White) Medium-level cloud",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","08:00","2015-02-13","S","14","","17000","7.30","1001","F","Light rain shower (Day)",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","08:00","2015-02-13","S","14","","","6.30","1002","F","(Black) Low-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","08:00","2015-02-13","WSW","10","34","20000","6.70","997","F","(White) Medium-level cloud",
"3839","EXETER AIRPORT (3839)","50.7370","-3.4050","South West England","08:00","2015-02-13","VRB","-99","","","8.10","","#","N/A",
"3862","HURN (3862)","50.7790","-1.8350","South West England","08:00","2015-02-13","S","18","31","12000","7.70","1003","F","(Black) Low-level cloud",
"3672","NORTHOLT (3672)","51.5480","-0.4150","London & South East England","08:00","2015-02-13","SSE","10","","9000","6.80","1005","F","(White) Medium-level cloud",
"3769","CHARLWOOD (3769)","51.1500","-0.2333","London & South East England","08:00","2015-02-13","SSE","13","","9000","7.00","1006","F","(White) Medium-level cloud",
"3796","LANGDON BAY (3796)","51.1330","1.3480","London & South East England","08:00","2015-02-13","S","21","31","","5.20","1009","F","N/A",
"3876","SHOREHAM (3876)","50.8360","-0.2920","London & South East England","08:00","2015-02-13","S","17","","","7.60","1007","F","N/A",
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","08:00","2015-02-13","S","16","","22000","4.50","1003","F","Light rain shower (Day)",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","08:00","2015-02-13","SSE","30","41","8000","6.80","994","F","(White) Medium-level cloud",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","08:00","2015-02-13","S","6","","35000","5.80","996","F","(Black) Low-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","08:00","2015-02-13","NE","8","22","15000","3.30","999","F","(Black) Low-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","08:00","2015-02-13","VRB","-99","","","-4.40","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","08:00","2015-02-13","S","22","30","5000","3.50","1002","F","(White) Medium-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","08:00","2015-02-13","SE","25","38","4300","5.00","995","F","(Black) Low-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","08:00","2015-02-13","ENE","6","","8000","3.60","1000","F","(Black) Low-level cloud",
"3153","DUNDRENNAN (3153)","54.8030","-4.0080","Dumfries, Galloway","08:00","2015-02-13","SSE","26","37","4000","4.40","998","F","(Black) Low-level cloud",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","08:00","2015-02-13","SSE","10","33","","-99.00","","#","N/A",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","08:00","2015-02-13","ESE","17","","6000","6.40","992","F","Light rain",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","08:00","2015-02-13","SE","26","40","","-99.00","","#","N/A",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","08:00","2015-02-13","SE","14","","6000","6.00","999","F","(Black) Low-level cloud",
"3502","ABERPORTH (3502)","52.1390","-4.5710","Wales","08:00","2015-02-13","SSE","29","48","8000","5.80","994","F","Heavy Rain",
"3609","MUMBLES HEAD (3609)","51.5650","-3.9810","Wales","08:00","2015-02-13","SSE","22","29","","7.40","998","F","N/A",
"3212","KESWICK (3212)","54.6140","-3.1570","North West England","08:00","2015-02-13","SE","7","","5000","3.80","1000","F","Drizzle",
"3225","SHAP (3225)","54.5010","-2.6840","North West England","08:00","2015-02-13","S","17","","4500","3.30","1000","F","(Black) Low-level cloud",
