Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","09:00","2015-12-31","NNE","6","","7000","5.90","997","F","Light rain shower (Day)",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","09:00","2015-12-31","S","15","","18000","4.00","994","F","Light rain",
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","09:00","2015-12-31","SSE","3","","35000","0.20","996","F","(Black) Low-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","09:00","2015-12-31","S","1","","26000","-1.30","998","F","(Black) Low-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","09:00","2015-12-31","VRB","-99","","","-4.10","","#","N/A",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","09:00","2015-12-31","WNW","6","","28000","0.50","997","F","(Black) Low-level cloud",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","09:00","2015-12-31","ESE","6","","27000","4.00","996","F","(Black) Low-level cloud",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","09:00","2015-12-31","N","2","","35000","1.80","997","F","(Black) Low-level cloud",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","09:00","2015-12-31","SW","19","29","45000","5.00","998","R","(Black) Low-level cloud",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","09:00","2015-12-31","WNW","3","","5000","2.40","997","F","Light rain",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","09:00","2015-12-31","S","8","","30000","2.90","998","R","(White) Medium-level cloud",
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","09:00","2015-12-31","WSW","10","","","-99.00","","#","N/A",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","09:00","2015-12-31","SSW","28","37","30000","8.20","1005","R","(White) Medium-level cloud",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","09:00","2015-12-31","S","9","","26000","3.60","1008","R","Sunny intervals",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","09:00","2015-12-31","SW","15","29","28000","8.40","1010","R","Sunny intervals",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","09:00","2015-12-31","SW","29","43","29000","6.30","1001","R","N/A",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","09:00","2015-12-31","SW","19","29","13000","4.30","1001","R","Light rain",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","09:00","2015-12-31","SSW","8","","12000","3.90","998","R","(Black) Low-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","09:00","2015-12-31","SSW","18","31","23000","6.00","1001","R","Light rain shower (Day)",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","09:00","2015-12-31","SSW","26","39","","3.60","","#","N/A",
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","09:00","2015-12-31","VRB","-99","","","5.90","","#","N/A",
"3522","HEREFORD (3522)","52.0830","-2.8000","West Midlands","09:00","2015-12-31","WSW","5","","29000","5.70","1009","R","Light rain shower (Day)",
"3373","SCAMPTON (3373)","53.3070","-0.5460","East Midlands","09:00","2015-12-31","SW","22","","45000","5.60","1005","R","Sunny (Day)",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","09:00","2015-12-31","SW","15","29","40000","6.40","1006","R","Sunny (Day)",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","09:00","2015-12-31","SSW","22","31","35000","6.80","1009","R","Sunny (Day)",
"3684","ANDREWS FIELD (3684)","51.8960","0.4530","East of England","09:00","2015-12-31","SW","18","31","35000","7.20","1011","R","Sunny intervals",
"3707","CHIVENOR (3707)","51.0890","-4.1490","South West England","09:00","2015-12-31","S","14","","17000","7.30","1010","R","Sunny (Day)",
"3746","BOSCOMBE DOWN (3746)","51.1610","-1.7540","South West England","09:00","2015-12-31","SW","13","","22000","6.60","1013","R","Sunny (Day)",
"3823","CARDINHAM (3823)","50.5020","-4.6670","South West England","09:00","2015-12-31","S","13","24","17000","6.50","1011","R","Sunny intervals",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","09:00","2015-12-31","S","8","","22000","6.10","1012","R","Sunny (Day)",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","09:00","2015-12-31","SSW","13","","40000","6.20","1012","R","Sunny (Day)",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","09:00","2015-12-31","SSW","15","30","30000","7.00","1013","R","Sunny (Day)",
"3781","KENLEY (3781)","51.3030","-0.0900","London & South East England","09:00","2015-12-31","SW","17","31","40000","6.80","1013","R","Sunny (Day)",
"3866","ST CATHERINES PT. (3866)","50.5770","-1.2970","London & South East England","09:00","2015-12-31","WSW","30","40","","11.10","1014","R","N/A",
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","09:00","2015-12-31","N","10","","29000","5.80","996","F","(Black) Low-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","09:00","2015-12-31","ESE","3","","28000","0.70","996","F","Sunny (Day)",
