Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3008","FAIR ISLE (3008)","59.5300","-1.6300","Orkney & Shetland","22:00","2015-03-24","NE","3","","","2.30","1012","R","N/A",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","22:00","2015-03-24","NNE","11","","","-1.70","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","22:00","2015-03-24","NW","1","","30000","2.00","1012","R","(White) Medium-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","22:00","2015-03-24","NNW","14","","16000","5.60","1013","R","Partly cloudy (Night)",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","22:00","2015-03-24","NNW","6","","","-0.20","","#","N/A",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","22:00","2015-03-24","WNW","6","","","-99.00","","#","N/A",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","22:00","2015-03-24","NNE","10","","20000","4.60","1014","R","(Black) Low-level cloud",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","22:00","2015-03-24","WNW","6","","27000","4.40","1011","R","Partly cloudy (Night)",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","22:00","2015-03-24","N","3","","40000","1.40","1012","R","(White) Medium-level cloud",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","22:00","2015-03-24","N","5","","27000","3.10","1011","R","Clear sky (Night)",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","22:00","2015-03-24","NE","2","","35000","0.30","1011","R","(White) Medium-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","22:00","2015-03-24","NNW","5","","11000","0.80","1010","R","Clear sky (Night)",
"3292","BRIDLINGTON MRSC (3292)","54.0940","-0.1740","Yorkshire & Humber","22:00","2015-03-24","NW","8","","","2.20","1009","R","Clear sky (Night)",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","22:00","2015-03-24","SSE","1","","30000","-0.30","1011","R","Clear sky (Night)",
"3379","CRANWELL (3379)","53.0300","-0.5000","East Midlands","22:00","2015-03-24","SW","3","","17000","0.40","1010","R","Clear sky (Night)",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","22:00","2015-03-24","E","2","","18000","2.90","1009","R","Clear sky (Night)",
"3696","WALTON-ON-THE-NAZE (3696)","51.8500","1.2800","East of England","22:00","2015-03-24","NW","3","","","-99.00","","#","N/A",
