Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","15:00","2015-03-24","N","7","","20000","5.70","1008","R","(White) Medium-level cloud",
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","15:00","2015-03-24","NNE","25","47","","-1.00","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","15:00","2015-03-24","WNW","5","","45000","5.30","1008","R","(White) Medium-level cloud",
"3111","MACHRIHANISH (3111)","55.4410","-5.6990","Strathclyde","15:00","2015-03-24","N","18","30","20000","7.10","1009","R","(White) Medium-level cloud",
"3148","GLEN OGLE (3148)","56.4230","-4.3200","Central Tayside & Fife","15:00","2015-03-24","NNW","18","","","1.20","","#","N/A",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","15:00","2015-03-24","NW","6","","","-99.00","","#","N/A",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","15:00","2015-03-24","N","16","33","20000","4.40","1011","R","(Black) Low-level cloud",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","15:00","2015-03-24","WNW","14","","40000","6.80","1010","F","(White) Medium-level cloud",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","15:00","2015-03-24","NW","18","","35000","8.80","1011","F","(White) Medium-level cloud",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","15:00","2015-03-24","VRB","-99","","55000","8.20","1008","R","(White) Medium-level cloud",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","15:00","2015-03-24","W","7","","","-0.70","","#","N/A",
"3261","DISHFORTH AIRFIELD (3261)","54.1340","-1.4140","Yorkshire & Humber","15:00","2015-03-24","WNW","11","","29000","6.00","1008","F","Thunder storm",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","15:00","2015-03-24","SSW","1","","28000","3.50","1009","F","(White) Medium-level cloud",
"3535","COLESHILL (3535)","52.4800","-1.6890","West Midlands","15:00","2015-03-24","NW","9","","40000","8.00","1009","F","Sunny (Day)",
"3385","DONNA NOOK (3385)","53.4730","0.1540","East Midlands","15:00","2015-03-24","E","11","","35000","7.10","1008","F","Sunny intervals",
"3488","WEYBOURNE (3488)","52.9490","1.1270","East of England","15:00","2015-03-24","NE","6","","20000","6.80","1008","F","Sunny (Day)",
"3628","FILTON (3628)","51.5210","-2.5760","South West England","15:00","2015-03-24","W","3","","35000","7.90","1009","F","(White) Medium-level cloud",
"3803","SCILLY ST MARYS (3803)","49.9130","-6.3010","South West England","15:00","2015-03-24","NNW","22","29","45000","8.30","1014","F","Sunny intervals",
"3827","MOUNT BATTEN (3827)","50.3540","-4.1210","South West England","15:00","2015-03-24","NNW","17","","23000","9.00","1011","F","(White) Medium-level cloud",
"3658","BENSON (3658)","51.6200","-1.0970","London & South East England","15:00","2015-03-24","WNW","9","","40000","9.80","1008","F","Sunny intervals",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","15:00","2015-03-24","N","5","","30000","8.90","1008","F","Sunny intervals",
"3784","GRAVESEND-BROADNESS (3784)","51.4640","0.3140","London & South East England","15:00","2015-03-24","SE","3","","","9.00","1008","F","N/A",
"3882","HERSTMONCEUX WEST END (3882)","50.8900","0.3190","London & South East England","15:00","2015-03-24","NNE","2","","27000","9.00","1008","F","(White) Medium-level cloud",
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","15:00","2015-03-24","N","5","","50000","5.80","1008","R","(Black) Low-level cloud",
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","15:00","2015-03-24","WNW","15","","50000","6.30","1008","R","Sunny intervals",
"3068","LOSSIEMOUTH (3068)","57.7120","-3.3220","Grampian","15:00","2015-03-24","NW","11","","45000","7.30","1008","R","Sunny intervals",
"3136","PRESTWICK RNAS (3136)","55.5150","-4.5850","Strathclyde","15:00","2015-03-24","WNW","14","","30000","7.80","1008","F","Sunny (Day)",
"3132","WEST FREUGH (ESAWS) (3132)","54.8590","-4.9360","Dumfries, Galloway","15:00","2015-03-24","NNW","17","","40000","7.50","1009","F","Sunny intervals",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","15:00","2015-03-24","NNW","10","23","45000","5.90","1013","R","Heavy rain shower (Day)",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","15:00","2015-03-24","N","18","31","27000","5.40","1011","F","Sunny intervals",
"3410","LAKE VYRNWY SAWS (3410)","52.7570","-3.4640","Wales","15:00","2015-03-24","NW","5","","45000","5.40","1009","F","(White) Medium-level cloud",
"3609","MUMBLES HEAD (3609)","51.5650","-3.9810","Wales","15:00","2015-03-24","NW","8","","","8.30","1011","F","N/A",
"3224","SPADEADAM (3224)","55.0500","-2.5530","North West England","15:00","2015-03-24","WNW","16","","15000","3.70","1007","F","Light rain shower (Day)",
"3316","CROSBY (3316)","53.4970","-3.0560","North West England","15:00","2015-03-24","WNW","13","","16000","7.40","1009","F","Sunny intervals",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","15:00","2015-03-24","SSW","10","","30000","6.50","1008","F","Sunny intervals",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","15:00","2015-03-24","WNW","9","","10000","6.30","1009","F","Sunny intervals",
"3544","CHURCH LAWFORD (3544)","52.3580","-1.3300","West Midlands","15:00","2015-03-24","NW","13","","40000","8.90","1008","F","Sunny intervals",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","15:00","2015-03-24","NW","8","","30000","10.80","1007","F","Sunny intervals",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","15:00","2015-03-24","NNE","6","","40000","9.70","1007","F","(White) Medium-level cloud",
"3710","LISCOMBE (3710)","51.0870","-3.6080","South West England","15:00","2015-03-24","NW","16","","40000","6.30","1010","F","(White) Medium-level cloud",
"3808","CAMBORNE (3808)","50.2180","-5.3300","South West England","15:00","2015-03-24","NNW","16","","35000","8.10","1013","F","(White) Medium-level cloud",
"3853","YEOVILTON (3853)","51.0060","-2.6400","South West England","15:00","2015-03-24","NW","16","","15000","6.80","1010","F","Light rain shower (Day)",
