Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3008","FAIR ISLE (3008)","59.5300","-1.6300","Orkney & Shetland","17:00","2015-03-16","ESE","19","","","6.70","1031","F","N/A",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","17:00","2015-03-16","SW","10","28","","-99.00","","#","N/A",
"3088","INVERBERVIE (3088)","56.8500","-2.2700","Grampian","17:00","2015-03-16","VRB","-99","","","5.00","1027","F","(Black) Low-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","17:00","2015-03-16","ENE","7","","3300","5.20","1026","F","Light rain",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","17:00","2015-03-16","E","7","","21000","6.80","1023","F","(Black) Low-level cloud",
"3405","ABERDARON (3405)","52.7890","-4.7420","Wales","17:00","2015-03-16","ESE","10","","12000","6.40","1023","F","(White) Medium-level cloud",
"3716","ST-ATHAN (3716)","51.4050","-3.4400","Wales","17:00","2015-03-16","ENE","7","","14000","6.50","1021","F","(Black) Low-level cloud",
"3230","REDESDALE CAMP (3230)","55.2800","-2.2800","North East England","17:00","2015-03-16","NE","6","","5000","4.00","1025","F","(Black) Low-level cloud",
"3265","TOPCLIFFE (3265)","54.2040","-1.3900","Yorkshire & Humber","17:00","2015-03-16","E","6","","8000","6.50","1024","F","(White) Medium-level cloud",
"3414","SHAWBURY (3414)","52.7940","-2.6630","West Midlands","17:00","2015-03-16","E","3","","11000","6.50","1022","F","(White) Medium-level cloud",
"3391","CONINGSBY (3391)","53.0940","-0.1710","East Midlands","17:00","2015-03-16","E","10","","7000","7.00","1023","F","(White) Medium-level cloud",
"3590","WATTISHAM (3590)","52.1230","0.9610","East of England","17:00","2015-03-16","E","8","","10000","6.70","1023","F","(White) Medium-level cloud",
"3740","LYNEHAM (3740)","51.5031","-1.9924","South West England","17:00","2015-03-16","ESE","7","","","5.60","1022","F","(Black) Low-level cloud",
"3840","DUNKESWELL AERODROME (3840)","50.8600","-3.2390","South West England","17:00","2015-03-16","E","6","","7000","4.70","1021","F","(Black) Low-level cloud",
"3761","ODIHAM (3761)","51.2380","-0.9440","London & South East England","17:00","2015-03-16","SSW","2","","4000","5.00","1022","F","Light rain shower (Day)",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","17:00","2015-03-16","E","5","","35000","7.20","1026","F","(Black) Low-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","17:00","2015-03-16","VRB","-99","","","-3.10","","#","N/A",
"3105","ISLAY/PORT ELLEN (3105)","55.6810","-6.2560","Strathclyde","17:00","2015-03-16","ESE","10","","18000","7.50","1024","F","(Black) Low-level cloud",
