Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","10:00","2015-02-04","W","6","","22000","2.60","1025","R","(White) Medium-level cloud",
"3062","TAIN RANGE (3062)","57.8200","-3.9700","Highland & Eilean Siar","10:00","2015-02-04","WNW","11","","30000","2.00","1024","R","(Black) Low-level cloud",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","10:00","2015-02-04","NW","15","","21000","1.70","1023","R","(Black) Low-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","10:00","2015-02-04","WSW","3","","35000","-0.70","1024","R","Sunny intervals",
"3173","EDINBURGH BLACKFORD HILL (3173)","55.9200","-3.1800","Dumfries, Galloway","10:00","2015-02-04","W","11","","","-99.00","","#","N/A",
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","10:00","2015-02-04","NNE","6","","35000","3.00","1026","R","Sunny (Day)",
"3313","RHYL (3313)","53.2590","-3.5090","Wales","10:00","2015-02-04","NNW","6","","40000","3.20","1024","R","Sunny intervals",
"3605","PEMBREY SANDS SAMOS (3605)","51.7130","-4.3680","Wales","10:00","2015-02-04","NNE","11","","29000","2.30","1023","R","Sunny (Day)",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","10:00","2015-02-04","VRB","-99","","40000","0.20","1023","R","Sunny (Day)",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","10:00","2015-02-04","NNE","18","31","","-5.30","","#","N/A",
"3281","FYLINGDALES (3281)","54.3620","-0.6730","Yorkshire & Humber","10:00","2015-02-04","NNW","15","","","0.20","","#","N/A",
"3529","PERSHORE (3529)","52.1480","-2.0400","West Midlands","10:00","2015-02-04","NW","10","","23000","0.60","1022","R","Sunny (Day)",
"3379","CRANWELL (3379)","53.0300","-0.5000","East Midlands","10:00","2015-02-04","NNW","17","","30000","1.20","1020","R","(White) Medium-level cloud",
"3488","WEYBOURNE (3488)","52.9490","1.1270","East of England","10:00","2015-02-04","NW","19","","11000","3.40","1017","R","(White) Medium-level cloud",
"3710","LISCOMBE (3710)","51.0870","-3.6080","South West England","10:00","2015-02-04","N","10","","16000","0.30","1022","R","(Black) Low-level cloud",
"3823","CARDINHAM (3823)","50.5020","-4.6670","South West England","10:00","2015-02-04","NNE","11","","19000","2.50","1022","R","Sunny intervals",
"3649","BRIZE NORTON (3649)","51.7580","-1.5760","London & South East England","10:00","2015-02-04","N","13","","15000","1.50","1021","R","Sunny (Day)",
"3781","KENLEY (3781)","51.3030","-0.0900","London & South East England","10:00","2015-02-04","N","10","","16000","0.80","1019","R","(White) Medium-level cloud",
"3874","SOLENT MRSC (3874)","50.8070","-1.2080","London & South East England","10:00","2015-02-04","N","15","","","2.50","1019","R","N/A",
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","10:00","2015-02-04","VRB","0","","17000","2.00","1026","R","(White) Medium-level cloud",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","10:00","2015-02-04","WNW","6","","45000","1.10","1026","R","(Black) Low-level cloud",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","10:00","2015-02-04","WNW","8","","21000","1.70","1023","R","(Black) Low-level cloud",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","10:00","2015-02-04","WNW","1","","35000","-2.60","1025","R","Sunny (Day)",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","10:00","2015-02-04","WSW","5","","30000","-0.10","1024","R","Sunny intervals",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","10:00","2015-02-04","NW","2","","35000","-0.60","1027","R","Sunny (Day)",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","10:00","2015-02-04","N","3","","30000","2.90","1024","R","Sunny (Day)",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","10:00","2015-02-04","N","3","","23000","0.20","1023","R","Sunny (Day)",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","10:00","2015-02-04","N","10","","24000","0.70","1024","R","Sunny (Day)",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","10:00","2015-02-04","N","3","","35000","-2.10","1023","R","Sunny intervals",
