Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","09:00","2015-09-01","NNE","16","","30000","12.70","1017","R","(White) Medium-level cloud",
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","09:00","2015-09-01","N","10","","30000","11.90","1021","R","(Black) Low-level cloud",
"3065","CAIRNGORM SUMMIT (3065)","57.1200","-3.6400","Grampian","09:00","2015-09-01","NW","30","36","","3.40","","#","N/A",
"3100","TIREE (3100)","56.4970","-6.8870","Strathclyde","09:00","2015-09-01","N","16","","35000","12.20","1021","R","(Black) Low-level cloud",
"3171","LEUCHARS (3171)","56.3770","-2.8620","Central Tayside & Fife","09:00","2015-09-01","WNW","9","","45000","12.40","1018","R","(Black) Low-level cloud",
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","09:00","2015-09-01","NW","11","","35000","11.80","1020","R","(Black) Low-level cloud",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","09:00","2015-09-01","NNW","6","","35000","14.90","1019","R","(White) Medium-level cloud",
"3604","MILFORD HAVEN C.B. (3604)","51.7080","-5.0550","Wales","09:00","2015-09-01","NNW","9","","40000","14.40","1021","R","(Black) Low-level cloud",
"3214","WALNEY ISLAND (3214)","54.1250","-3.2570","North West England","09:00","2015-09-01","NW","7","","40000","14.40","1018","R","(Black) Low-level cloud",
"3275","LOFTUS (3275)","54.5700","-0.8700","North East England","09:00","2015-09-01","NNW","14","","20000","11.70","1017","R","(White) Medium-level cloud",
"3344","BINGLEY SAMOS (3344)","53.8110","-1.8650","Yorkshire & Humber","09:00","2015-09-01","NNW","6","","40000","12.50","1018","R","(White) Medium-level cloud",
"3520","SHOBDON SAWS (3520)","52.2420","-2.8850","West Midlands","09:00","2015-09-01","ESE","5","","26000","14.50","1019","R","Sunny (Day)",
"3379","CRANWELL (3379)","53.0300","-0.5000","East Midlands","09:00","2015-09-01","NNW","14","","25000","13.90","1017","R","(White) Medium-level cloud",
"3482","MARHAM (3482)","52.6510","0.5690","East of England","09:00","2015-09-01","NW","11","","15000","14.70","1016","R","(White) Medium-level cloud",
