Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","21:00","2015-01-13","W","22","37","14000","4.90","982","R","Partly cloudy (Night)",
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","21:00","2015-01-13","SSW","14","","40000","0.10","987","F","Light rain",
"3080","ABOYNE (3080)","57.0770","-2.8360","Grampian","21:00","2015-01-13","SW","22","31","50000","0.90","986","F","Partly cloudy (Night)",
"3155","DRUMALBIN (3155)","55.6270","-3.7350","Strathclyde","21:00","2015-01-13","SSW","18","29","16000","-0.30","991","R","(White) Medium-level cloud",
"3166","EDINBURGH/GOGARBANK (3166)","55.9280","-3.3430","Dumfries, Galloway","21:00","2015-01-13","SW","15","29","700","0.30","990","R","Heavy snow",
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","21:00","2015-01-13","SW","11","","35000","-1.10","993","R","(White) Medium-level cloud",
"3302","VALLEY (3302)","53.2520","-4.5370","Wales","21:00","2015-01-13","WSW","21","29","35000","4.10","997","R","(White) Medium-level cloud",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","21:00","2015-01-13","WSW","7","","1200","-0.10","1001","F","Heavy snow",
"3210","ST. BEES HEAD (3210)","54.5180","-3.6150","North West England","21:00","2015-01-13","WSW","22","31","21000","2.90","994","R","(White) Medium-level cloud",
"3226","WARCOP (3226)","54.5700","-2.4200","North West England","21:00","2015-01-13","SSW","10","","50000","0.10","994","F","(White) Medium-level cloud",
"3257","LEEMING (3257)","54.2960","-1.5300","Yorkshire & Humber","21:00","2015-01-13","SW","16","","19000","2.80","996","R","(White) Medium-level cloud",
"3330","LEEK (3330)","53.1330","-1.9830","West Midlands","21:00","2015-01-13","SW","15","","40000","-0.10","999","F","(Black) Low-level cloud",
"3544","CHURCH LAWFORD (3544)","52.3580","-1.3300","West Midlands","21:00","2015-01-13","SSW","7","","50000","1.80","1001","F","(White) Medium-level cloud",
"3392","WAINFLEET (3392)","53.0880","0.2740","East Midlands","21:00","2015-01-13","SW","14","","20000","2.30","1000","F","Partly cloudy (Night)",
"3696","WALTON-ON-THE-NAZE (3696)","51.8500","1.2800","East of England","21:00","2015-01-13","SSW","10","","","-99.00","","#","N/A",
"3803","SCILLY ST MARYS (3803)","49.9130","-6.3010","South West England","21:00","2015-01-13","WSW","32","51","18000","6.20","1006","R","Light rain shower (Night)",
"3857","ISLE OF PORTLAND (3857)","50.5220","-2.4540","South West England","21:00","2015-01-13","W","31","44","16000","6.50","1005","R","Partly cloudy (Night)",
"3768","FARNBOROUGH (3768)","51.2790","-0.7720","London & South East England","21:00","2015-01-13","WSW","8","","30000","3.20","1004","R","Partly cloudy (Night)",
"3797","MANSTON (3797)","51.3422","1.3461","London & South East England","21:00","2015-01-13","SW","13","","35000","5.80","1003","F","(White) Medium-level cloud",
