Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","23:00","2015-07-25","NW","8","","50000","8.50","1012","F","(White) Medium-level cloud",
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","23:00","2015-07-25","NW","1","","35000","6.90","1013","F","(White) Medium-level cloud",
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","23:00","2015-07-25","SSE","8","","","4.00","","#","N/A",
"3063","AVIEMORE (3063)","57.2060","-3.8270","Highland & Eilean Siar","23:00","2015-07-25","NNW","1","","18000","8.60","1013","F","(Black) Low-level cloud",
"3091","ABERDEEN DYCE (3091)","57.2060","-2.2020","Grampian","23:00","2015-07-25","N","1","","50000","11.00","1013","F","(Black) Low-level cloud",
"3144","STRATHALLAN (3144)","56.3260","-3.7290","Central Tayside & Fife","23:00","2015-07-25","ENE","3","","24000","10.20","1013","F","(Black) Low-level cloud",
"3158","CHARTERHALL (3158)","55.7090","-2.3830","Dumfries, Galloway","23:00","2015-07-25","SW","2","","40000","9.30","1013","F","(Black) Low-level cloud",
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","23:00","2015-07-25","E","6","","40000","11.20","1011","F","(Black) Low-level cloud",
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","23:00","2015-07-25","S","7","","27000","11.30","1011","F","(Black) Low-level cloud",
"3321","HAWARDEN (3321)","53.1740","-2.9860","Wales","23:00","2015-07-25","ESE","6","","50000","11.50","1015","F","(Black) Low-level cloud",
"3507","SENNYBRIDGE (3507)","52.0630","-3.6140","Wales","23:00","2015-07-25","SSE","3","","30000","9.60","1016","F","(Black) Low-level cloud",
"3204","RONALDSWAY (3204)","54.0849","-4.6321","North West England","23:00","2015-07-25","SSW","10","","50000","12.80","1013","F","(White) Medium-level cloud",
"3220","CARLISLE (3220)","54.9330","-2.9630","North West England","23:00","2015-07-25","VRB","-99","","50000","11.10","1014","F","(White) Medium-level cloud",
"3227","GREAT DUN FELL (3227)","54.6800","-2.4500","North West England","23:00","2015-07-25","W","14","","","5.20","","#","N/A",
"3240","BOULMER (3240)","55.4210","-1.6000","North East England","23:00","2015-07-25","W","1","","10000","9.10","1013","F","Partly cloudy (Night)",
"3266","LINTON ON OUSE (3266)","54.0450","-1.2500","Yorkshire & Humber","23:00","2015-07-25","WSW","7","","26000","10.00","1015","R","Clear sky (Night)",
